Titel,URL,Date_Info,News_page
»Bachelor«-Abgesang: Der Deadchelor im Schmeichelsarg,https://www.spiegel.de/kultur/tv/bachelor-ein-abgesang-der-deadchelor-im-schmeichelsarg-a-c0264ae5-b3bd-4beb-a968-d1810f8d852e,24022022_12:43 ,Spiegel
"Fakten, Hintergründe: Putins Ukraine-Invasion – das ist in den ersten Stunden passiert",https://www.spiegel.de/ausland/ukraine-krieg-kiew-meldet-dutzende-tote-soldaten-berichte-ueber-explosionen-in-mehreren-staedten-a-bade119b-95a3-4e56-98b0-c11bdff67b5c,24022022_12:40 ,Spiegel
Tödlicher Schuss am Filmset: Mann von erschossener Kamerafrau »so wütend« auf Alec Baldwin,https://www.spiegel.de/panorama/alec-baldwin-mann-von-erschossener-kamerafrau-so-wuetend-a-0c9052a7-3a02-474d-b062-93a2a98ade6f,24022022_12:27 ,Spiegel
TV-Auszeichnungen: »Klima Update« von RTL für Grimmepreis nominiert,https://www.spiegel.de/kultur/tv/grimmepreis-nominierungen-klima-update-von-rtl-im-rennen-a-97cde2fb-61e6-4ce8-a3b3-48aa00dfd318,24022022_12:19 ,Spiegel
Bouffier-Nachfolge: Boris Rhein soll laut Medienbericht hessischer Ministerpräsident werden,https://www.spiegel.de/politik/deutschland/hessen-landtagspraesident-boris-rhein-soll-laut-medienbericht-nachfolger-von-volker-bouffier-werden-a-8bef9e22-66a7-4432-ad08-5fb6bbf38f1e,24022022_12:17 ,Spiegel
Russische Invasion: Nato aktiviert Verteidigungspläne für Osteuropa,https://www.spiegel.de/ausland/ukraine-invasion-nato-aktiviert-verteidigungsplaene-fuer-osteuropa-a-c47595bc-e236-468e-9b48-bdee31f64f23,24022022_12:12 ,Spiegel
EuGH-Anwalt zum Brexit: Briten sollen in der EU von Kommunalwahlen ausgeschlossen werden,https://www.spiegel.de/ausland/brexit-in-eu-lebende-brite-offenbar-von-kommunalwahlen-ausgeschlossen-a-8dbe4574-32ec-42e0-9592-9f61facb6585,24022022_12:04 ,Spiegel
The Russian Invasion: Putin Settles Accounts with the West,https://www.spiegel.de/international/world/the-russian-invasion-putin-settles-accounts-with-the-west-a-c8df970b-b624-46ad-bba2-5a6d6aa8f680,24022022_11:50 ,Spiegel
Korruptionsverdacht in Dortmund: Schmutzige Geschäfte bei der Müllabfuhr?,https://www.spiegel.de/panorama/justiz/dortmund-schmutzige-geschaefte-bei-der-muellabfuhr-a-7326db8f-dc84-4953-8454-db6a8208a4c7,24022022_11:40 ,Spiegel
Russischer Angriff auf die Ukraine: Nato-Länder beraten in Dringlichkeitssitzung,https://www.spiegel.de/ausland/russlands-angriff-auf-die-ukraine-nato-laender-beraten-in-dringlichkeitssitzung-a-39726a14-4390-4b32-ab9f-82cde8000551,24022022_11:38 ,Spiegel
