Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Vorlesen als Wettbewerb,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/vorlesewettbewerb-boersenverein-des-deutschen-buchhandels-kreisentscheid-fuerstenfeldbruck-1.5531770,Jurysitzung in Germering,,"Von  Xaver Lallinger, Germering","Fürstenfeldbrucker Gymnasiastin wird Siegerin auf Kreisebene. 
                        
                            Von  Xaver Lallinger, Germering",20022022,Sueddeutsche,muenchen
Kießling sieht Merz-Wahl als starkes Signale,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/michael-kiessling-friedrich-merz-union-fraktionsvorsitz-germering-1.5531931,Unionsfraktionsvorsitz,,"Von Ariane Lindenbach, Fürstenfeldbruck","Der für Germering zuständige Bundestagsabgeordnete interpretiert die Wahl von Friedrich Merz zum Fraktionsvorsitzenden als starkes Zeichen.
                        
                            Von Ariane Lindenbach, Fürstenfeldbruck",20022022,Sueddeutsche,muenchen
Die schönsten Ecken von Fürstenfeldbruck,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/stadtfuehrungen-ffb-fuerstenfeldbruck-stadt-schauspiel-rundgang-1.5531835,Online oder als Faltblatt,,,Rechtzeitig zum Start in die Saison erscheint ein Flyer mit den aktuellen Stadtführungen.,20022022,Sueddeutsche,muenchen
Post liefert mit E-Mobilität,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/post-e-mobilitaet-elektrofahrzeuge-mammendorf-1.5531949,Nachhaltigkeit,,,Im westlichen Landkreis sind 17 Fahrzeuge mit Strom unterwegs.,20022022,Sueddeutsche,muenchen
Mehr Mitarbeiter für den Kampf gegen Corona,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/landratsamt-fuerstenfeldbruck-corona-gesundheitsamt-inzidenz-1.5531830,Wegen der weiterhin hohen Infektionszahlen,,"Von Stefan Salger, Fürstenfeldbruck","Fürstenfeldbrucker Landrat beordert Kräfte aus anderen Abteilungen ins Gesundheitsamt.
                        
                            Von Stefan Salger, Fürstenfeldbruck",20022022,Sueddeutsche,muenchen
Chef von 52 Feuerwehren,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/fuerstenfeldbruck-kreisbrandrat-feuerwehr-1.5531587,Rettungswesen,,,Christoph Gasteiger aus Moorenweis ist neuer Fürstenfeldbrucker Kreisbrandrat. Der 44-Jährige zeigt sich zufrieden mit dem Zustand der Feuerwehren und betont den Wert einer guten Ausbildung für die Aktiven und den Nachwuchs.,20022022,Sueddeutsche,muenchen
Es muss nicht immer Mozart sein,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/klassik-olching-eleven-elven-mozart-1.5531799,Olching,,,"Der Musikverein Eleven Eleven veranstaltet ein Konzert, bei dem Werke von Zeitgenossen des großen Komponisten zu hören sind.",20022022,Sueddeutsche,muenchen
Die Welt bestricken,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/tuerkenfeld-agnes-maria-forsthofer-kulturverstrickungen-stricken-linkshaender-1.5532183,Handarbeit,,"Von Andreas Ostermeier, Türkenfeld","Die Türkenfelderin Agnes-Maria Forsthofer will Farbe ins Leben bringen und Menschen in Kontakt. Darum umstrickt sie allerlei, vom Geländer bis zum Baum.
                        
                            Von Andreas Ostermeier, Türkenfeld",20022022,Sueddeutsche,muenchen
Tanzen auf glattem Untergrund,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/fuerstenfeldbruck-disco-eis-dj-christian-boeck-1.5531795,Partyfeeling in Fürstenfeldbruck,,"Von Isabel Strathmann, Fürstenfeldbruck","Nach zwei Jahren Corona-Pause lädt DJ Christian Böck wieder zu einer Eis-Disco ein.
                        
                            Von Isabel Strathmann, Fürstenfeldbruck",20022022,Sueddeutsche,muenchen
ÖDP sucht den Konsens,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/fuerstenfeldbruck-oedp-online-alexa-zierl-1.5531891,Politische Entscheidungsfindung,,,Online-Stammtisch des Kreisverbandes am Montag.,20022022,Sueddeutsche,muenchen
