Titel,Overline,Date_Info,Kategorie,URL,detailed_informations,bild_plus,Zugriff_Datum,News_page
7500 Fans in der 3. Liga erlaubt,Bundesliga neidisch!,2022-01-12 07:49:52,Fussball,/sport/fussball/fussball/3-liga-hallescher-fc-ist-fan-hauptstadt-7500-fans-trotz-corona-78795002.bild.html,"
                                Die 3. Liga spielt am Wochenende die 1. Geige – was die Fans angeht! Primus ist der Hallesche FC.",False,12012022,Bild
Hier sagt ein Missbrauchsopfer (15) aus,Das mutigste Foto,2022-01-11 22:05:39,Berlin,/regional/berlin/berlin-aktuell/viereinhalb-jahre-fuer-fussballtrainer-opfer-auge-in-auge-mit-seinem-peiniger-78794220.bild.html,"
                                Viereinhalb Jahre für Fußballtrainer! Das Opfer will sich nicht weiter verstecken.",False,12012022,Bild
KOSCHINAT Darum  holen wir Bremens Becker,FCS leiht Talent als Erdmann-Ersatz aus,2022-01-11 19:15:41,Fussball,/sport/fussball/fussball/1-fc-saarbruecken-koschinat-darum-holen-wir-bremens-becker-78793010.bild.html,"
                                Der ehemalige U19-Nationalspieler Dominik Becker kommt bis 2023. Was Koschinat von ihm hält.",False,12012022,Bild
Kamen Sylter Partygäste mit falschen Impfpässen?,Polizei ermittelt,2022-01-11 17:02:10,Hamburg,/regional/hamburg/hamburg-aktuell/sylt-corona-ausbruch-bei-party-in-kampen-polizei-ermittelt-wegen-falscher-impfpa-78786022.bild.html,"
                                Nach dem Corona-Ausbruch auf der Nordseeinsel Sylt ermittelt jetzt die Polizei.",False,12012022,Bild
Die fünf günstigsten Elektro-SUV,"Bezahlbar, bequem",2022-01-12 12:40:31,Auto-News,/bild-plus/auto/auto-news/auto-news/elektro-suv-dank-praemie-schon-fuer-knapp-ueber-10000-euro-78791542.bild.html,"
                                SUV sind beliebt. Dank Prämie sind sie mittlerweile auch als E-Auto günstig zu haben.",True,12012022,Bild
Füllkrug-Comeback nach Corona,Bereit für Düsseldorf?,2022-01-12 11:30:18,Bundesliga,/sport/fussball/fussball/werder-bremen-bereit-fuer-duesseldorf-fuellkrug-comeback-nach-corona-78798276.bild.html,"
                                Niclas Füllkrug (28) kehrt nach Corona-Erkrankung vorzeitig aus der Isolation zurück.",False,12012022,Bild
"Ja, es gibt einen neuen Mann",Nathalie Volk,2022-01-12 09:58:12,Leute,/unterhaltung/leute/leute/nathalie-volk-ja-es-gibt-einen-neuen-mann-78797614.bild.html,"
                                ER lässt sie wieder aufblühen! Nathalie Volk bestätigt die Gerüchte um einen neuen Mann.",False,12012022,Bild
Strafsteuer für Impf-Verweigerer in Kanada,Ungeimpfte zahlen bald,2022-01-12 07:47:11,News Ausland,/news/ausland/news-ausland/finanzielle-belastung-strafsteuer-fuer-impf-verweigerer-in-kanada-78796356.bild.html,"
                                Montréal - Die kanadische Provinz Québec will Ungeimpfte eine Strafgebühr zahlen lassen.",False,12012022,Bild
Turn-Held Dauser: 5 Jahre  Arbeit für EM-Gold,Neue BILD-Serie,2022-01-11 22:05:00,Sport-Mix,/sport/mehr-sport/sport-mix/neue-bild-serie-turner-lukas-dauser-5-jahre-arbeit-fuer-em-gold-78795316.bild.html,"
                                Die BILD-Serie „Unsere Hoffnungen für 2022“ stellt junge Sportler vor. Heute Lukas Dauser!",False,12012022,Bild
Wie vorbereiten? Was tun? Die große Check-Liste,Omikron trifft viele,2022-01-11 19:14:19,Ratgeber,/ratgeber/2022/ratgeber/omikron-trifft-fast-jeden-wie-sie-sich-auf-infektion-und-quarantaene-vorbereiten-78787658.bild.html,"
                                Alleine krank zu Hause? Gerade Singles sollten sich wappnen. Hier die wichtigsten Tipps.",False,12012022,Bild
DAFÜR feiert Madrid seinen Superstar,Vinicius springt über Real-Logo,2022-01-11,Fußball,"https://www.bild.de/video/clip/sport-videos/vinicius-jr-springt-ueber-real-logo-dafuer-feiert-madrid-seinen-superstar-61dd8575fbf70d2ff677170c-78791008,auto=true.bild.html","
                                Real Madrids Vinicius Jr. liebt seinen Arbeitgeber. Springt sogar über das auf dem Boden liegende Vereinslogo.",False,12012022,Bild
Darum haben 400 Vodafone-Kunden kein Internet,Vier Tage Ausfall,2022-01-12 12:43:43,Frankfurt,/regional/frankfurt/frankfurt-aktuell/seit-vier-tagen-ausfall-darum-haben-400-vodafone-kunden-kein-internet-78800320.bild.html,"
                                Seit vier Tagen schauen rund 400 Frankfurter Vodafone-Kunden immer wieder in die Röhre.",False,12012022,Bild
Ihr ältestes Opfer ist   94 Jahre alt,Falsche Wasserwerker ,2022-01-12 11:30:28,München,/regional/muenchen/muenchen-aktuell/falsche-wasserwerker-vor-gericht-ihr-aeltestes-opfer-ist-94-jahre-alt-78791586.bild.html,"
                                München – „Guten Tag, wir müssen Ihre Wasserleitungen überprüfen.“ ",False,12012022,Bild
"So viele Neuinfektionen wie noch nie, aber ...",Corona-Radar,2022-01-12 09:53:30,Ratgeber,/ratgeber/2021/ratgeber/corona-zahlen-aktuell-rki-covid-19-inzidenz-neuinfektionen-intensivstationen-so-ist-die-lage-75899640.bild.html,"
                                Alle Zahlen und Fakten zur Verbreitung von Corona in Deutschland.",False,12012022,Bild
Bulldogge allein im Zug unterwegs,Tierischer Schwarzfahrer,2022-01-12 07:46:52,Sachsen-Anhalt,/regional/sachsen-anhalt/sachsen-anhalt-news/tiere-bulldogge-hatte-bock-auf-zugfahren-78796918.bild.html,"
                                Eine Französische Bulldogge sprang in Zerbst (Sachsen-Anhalt) in den Zug und fuhr mal eine Runde gratis mit der Bahn.",False,12012022,Bild
Haaland bleibt  Haar-lang,Nach Fan-Tweet,2022-01-11 22:05:24,Bundesliga,/sport/fussball/fussball/bvb-haaland-bleibt-haar-lang-trotz-fan-tweet-78794612.bild.html,"
                                Ein Fan forderte BVB-Superstar Erling Haaland (21) auf, sich die Haare zu schneiden. ",False,12012022,Bild
Habeck will Klima-Turbo zünden,„Müssen dreimal besser werden“,2022-01-11 19:09:12,Politik Inland,/politik/inland/politik-inland/habeck-will-klima-turbo-zuenden-muessen-dreimal-besser-werden-78791752.bild.html,"
                                Wirtschafts- und Klimaminister Robert Habeck will massiv Erneuerbare Energien ausbauen.",False,12012022,Bild
10800 Euro Strafe  für Lok und Chemie,Teures Derby-Nachspiel,2022-01-11 16:57:19,Fussball,/sport/fussball/fussball/teures-derby-nachspiel-10800-euro-strafe-fuer-lok-und-chemie-78792720.bild.html,"
                                Am 21. November gewann der FC Lok das Derby gegen die BSG Chemie mit 1:0. Jetzt gab es die Rechnung vom Sportgericht. Und die ist fü...",False,12012022,Bild
Deutschland bibbert,Kältewelle kommt,2022-01-12,News Inland,"https://www.bild.de/video/clip/news-inland/kaeltewelle-kommt-deutschland-bibbert-78798372,auto=true.bild.html","
                                Nächste Woche wird ein Kältepeitsche für ganz Deutschland erwartet.",False,12012022,Bild
Tina Ruland zieht ins Dschungelcamp,RTL-Show-Kandidatin ,2022-01-12 11:29:53,Leute,/unterhaltung/leute/leute/tina-ruland-zieht-ins-rtl-dschungelcamp-welche-rolle-sie-da-nicht-spielen-will-78712110.bild.html,"
                                Tina Ruland (55) ist Kandidatin bei „Ich bin ein Star ...“",False,12012022,Bild
Ist Djokovic’ positiver  Corona-Test manipuliert?,Neue Fragen im Einreise-Krimi,2022-01-12 09:52:55,Sport-Mix,/sport/mehr-sport/tennis/tennis-ist-der-positive-corona-test-von-novak-djokovic-manipuliert-78793056.bild.html,"
                                Neue Ungereimtheiten im Einreise-Krimi um den serbischen Tennisstar Novak Djokovic (34). ",False,12012022,Bild
Kein Platz mehr für Sulejmani bei 96,Winter-Wechsel naht,2022-01-12 07:43:44,2. Bundesliga,/sport/fussball/fussball/hannover-96-winter-wechsel-naht-kein-platz-mehr-fuer-valmir-sulejmani-78796450.bild.html,"
                                Beim Test-2:2 gegen Werder durfte Sulejmani noch mal ran. Aber ein Wechsel rückt näher.",False,12012022,Bild
Da kann auch der Spieler selbst nicht hingucken!,Ekel-Foto von Verletzung,2022-01-11 22:03:49,Fussball,/sport/fussball/fussball-international/manunited-star-dalot-postet-ekel-foto-von-horror-verletzung-er-konnte-nicht-hins-78790358.bild.html,"
                                Nichts für schwache Nerven! ManUnited-Star Diogo Dalot postete üble Verletzungs-Fotos.",False,12012022,Bild
Heidel: Ich will kein Lob mehr hören!,Absturz-Alarm in Mainz,2022-01-11 19:08:39,Bundesliga,/sport/fussball/fussball/absturz-alarm-bei-mainz-05-boss-heidel-ich-will-kein-lob-mehr-hoeren-78793224.bild.html,"
                                Absturz-Alarm in Mainz: Nur noch Zehnter – sechs Punkte vor ganz unten. Boss Heidel warnt!",False,12012022,Bild
Hören Sie mal! Kommentator völlig fassungslos,Chargers verschenken Playoffs,2022-01-11,Sport,"https://www.bild.de/video/clip/video/nfl-chargers-verschenken-playoffs-kommentator-voellig-fassungslos-78792616,auto=true.bild.html","
                                Die LA Chargers nehmen kurz vor Ende des letzten Saisonspiels eine folgenschwere Auszeit - sehr zur Verwunderung der US-Kommentatoren. Das und mehr in der neuen Folge Playbook.",False,12012022,Bild
Der Braut die Show stehlen – CHECK!,Kendall Jenner,2022-01-12 12:35:33,Leute,/unterhaltung/leute/leute/kendall-jenner-der-braut-die-show-stehlen-check-78798644.bild.html,"
                                Wie man auf der Hochzeit der besten Freundin nicht erscheinen sollte, zeigt Kendall Jenner.",False,12012022,Bild
Höcke wegen Nazi-Spruch auf AfD-Demo angezeigt,Staatsanwalt ermittelt,2022-01-12 11:25:45,Thüringen,/regional/thueringen/thueringen-aktuell/erfurt-merseburg-hoecke-wegen-nazi-spruch-auf-afd-demo-angezeigt-78799084.bild.html,"
                                AfD-Rechtsaußen Björn Höcke wurde wegen eines Nazi-Spruchs auf einer Demo erneut angezeigt.",False,12012022,Bild
Wegen Impfpflicht ab 16. März jede 4. Praxis dicht?,Zahnärzte-Verbände in Sorge,2022-01-12 09:49:28,Thüringen,/regional/thueringen/thueringen-aktuell/thueringen-wegen-impfpflicht-ab-16-maerz-jede-4-zahnarzt-praxis-dicht-78794944.bild.html,"
                                In neun Wochen müsste nach jetzigem Stand womöglich jede vierte Zahnarztpraxis schließen.",False,12012022,Bild
Silvester-Mob attackiert deutsche Studentinnen,Übergriffe in Mailand,2022-01-12 07:42:44,News Ausland,/news/ausland/news-ausland/uebergriffe-in-mailand-silvester-mob-attackiert-deutsche-studentinnen-20-78795434.bild.html,"
                                Auf dem Platz vor dem Dom bedrängte eine Meute junger Männer zwei junge Studentinnen (20)",False,12012022,Bild
Linda Nobat ist bereit  für das „Dschungelcamp“,Wird sie die neue Königin?,2022-01-11,Leute,"/video/clip/video/wird-sie-die-neue-koenigin-linda-ist-bereit-fuer-das-dschungelcamp-78789048,auto=true.bild.html","
                                „Bachelor""-Schönheit Linda Nobat ist Miss Februar im neuen Playboy.",False,12012022,Bild
Abnehmen mit Sport und   gesunder Ernährung,FIT FOR FUN-DIÄT,2022-01-11 19:00:41,Diät,/ratgeber/diaet/abnehmen/fit-for-fun-mit-sport-und-gesunder-erhnaehrung-abnehmen-64445474.bild.html,"
                                Viel Sport und gute Ernährung - mit der Fit for Fun-Diät hat schlechte Laune keine Chance.",False,12012022,Bild
700 Kilo Kokain in Rohrzucker versteckt!,Mega-Fund in Sachsen,2022-01-11 16:52:03,Leipzig,/regional/leipzig/leipzig-news/sachsen-polizei-stellt-700-kilo-kokainfuer-150-millionen-euro-sicher-78791690.bild.html,"
                                Das LKA stellte per Zufall 700 Kilo Kokain im Wert von mehr als 150 Millionen Euro sicher.",False,12012022,Bild
Für Männer heißt Scheiden leiden!,Studie zu Trennungen,2022-01-12 12:33:07,Ratgeber,/bild-plus/ratgeber/2022/ratgeber/krank-durch-einsamkeit-trennung-macht-maenner-krank-78787442.bild.html,"
                                Krank durchs Liebes-Aus – Experten erklären, warum Trennungen Männer härter treffen.",True,12012022,Bild
"Busfahrerin gekündigt, weil sie „zu klein“ ist",Nach 34 Jahren im Job,2022-01-12 11:24:51,News Ausland,/news/ausland/news-ausland/briten-busfahrerin-gekuendigt-weil-sie-zu-klein-ist-nach-34-jahren-im-job-78798378.bild.html,"
                                34 Jahre lang fuhr Tracey Scholes Bus in Manchester. Doch jetzt wurde sie gekündigt.",False,12012022,Bild
Razzia wegen  Flutkatastrophe in Erftstadt,Kein Hochwasserschutzwall?,2022-01-12 09:46:27,Köln,/regional/koeln/news/erftstadt-nrw-razzia-gegen-tagebau-betreiber-wegen-flutkatastrophe-78787702.bild.html,"
                                Im Zuge der Ermittlungen zur Flutkatastrophe gibt es derzeit eine Razzia gegen einen Tagebaubetreiber in Erftstadt.",False,12012022,Bild
Meyer macht Dampf  im Torwart-Kampf,Nummer 1 beim HFC offen,2022-01-12 07:35:05,Fussball,/sport/fussball/fussball/hallescher-fc-nummer-1-offen-meyer-macht-dampf-im-torwart-kampf-78796884.bild.html,"
                                Spannung in der HFC-Kiste: Vorm Spiel gegen Türkgücü ist nicht klar, wer Nummer eins wird.",False,12012022,Bild
So teuer wird Habecks  Klima-Plan,"Sprit, Strom, Miete",2022-01-11 21:57:02,Politik Inland,/bild-plus/politik/inland/politik-inland/co-strom-benzin-wie-teuer-wird-habecks-energieplan-78794428.bild.html,"
                                BILD macht den Check: Was plant Habeck – und was bedeutet das für die Verbraucher?",True,12012022,Bild
Ziereis fehlen noch zwei Haken,"Baby, Vertrag, 1. Liga",2022-01-11 19:00:43,2. Bundesliga,/sport/fussball/fussball/baby-vertrag-aufstieg-ziereis-fehlen-noch-zwei-haken-78793630.bild.html,"
                                Das Jahr hätte für Philipp Ziereis nicht schöner beginnen können. Er wurde erstmals Papa.",False,12012022,Bild
Dynamo leiht Kulke in die Regionalliga aus,Bis Saisonende,2022-01-11 16:51:12,3. Liga,/sport/fussball/fussball/bis-saisonende-dynamo-leiht-kulke-nach-meuselwitz-aus-78791828.bild.html,"
                                Dresdens Mittelfeld-Talent Max Kulke (21) soll in Meuselwitz Spielpraxis sammeln.",False,12012022,Bild
„Leonie“ ließ Räuber in die Wohnung ihres Dates!,Suche nach Lockvogel,2022-01-12 12:32:11,Berlin,/regional/berlin/berlin-aktuell/polizei-berlin-fahndet-leonie-liess-raeuber-in-die-wohnung-ihres-dates-78799396.bild.html,"
                                Dieses Date nahm ein böses Ende! Ein Mann (27) wurde überfallen und ausgeraubt.",False,12012022,Bild
Das sind Tom Bradys  Tampa Bay Buccaneers,Der Herr der Ringe,2022-01-12 11:20:32,American Football,/sport/american-football/nfl/nfl-playoffs-das-sind-die-tampa-bay-buccaneers-und-tom-brady-78754070.bild.html,"
                                BILD stellt Ihnen den amtierenden Super Bowl-Sieger vor. Das sind die Tampa Bay Buccaneers",False,12012022,Bild
Linda macht die Liege,Dschungel-Kandidatin im neuen „Playboy“,2022-01-12 09:37:03,TV - Dschungelcamp,/unterhaltung/tv/dschungelcamp/dschungelcamp-2022-linda-nobat-im-playboy-78787992.bild.html,"
                                Kurz vor Start des Dschungelcamps zeigt sich TV-Sternchen Linda Nobat im neuen „Playboy“.",False,12012022,Bild
Dieser Verbrecher hat 19 Autos geknackt,Fahndung!,2022-01-12 07:34:10,Frankfurt,/regional/frankfurt/frankfurt-aktuell/fahndung-mit-smiley-muetze-dieser-verbrecher-hat-19-autos-geknackt-78796956.bild.html,"
                                Außer dem „Smiley“ ist an ihm nichts wirklich nett: Die Kripo sucht diesen Dieb!",False,12012022,Bild
Mutter wirft Baby in den Müll – es lebt!,Unfassbare Tat von junger Frau (18),2022-01-11,News Ausland,"/video/clip/video/unfassbare-tat-von-junger-frau-18-mutter-wirft-baby-in-den-muell-es-lebt-78793986,auto=true.bild.html","
                                Hobbs (USA) – Es sind schockierende Szenen: eine Frau wirft ihr Kind einfach in den Müll.",False,12012022,Bild
Wandas Bikini  kostet 8700 Euro...,Icardis Frau verkauft Bademode,2022-01-11 18:59:26,Fussball,/sport/fussball/fussball-international/psg-icardis-frau-wanda-nara-verkauft-bikinis-fuer-8700-euro-78793240.bild.html,"
                                Jetzt kann der Sommer wirklich kommen. Spielerfrau und Model Wanda Nara verkauft Bikinis.",False,12012022,Bild
Razzia in Böller-Werkstatt neben Gasleitung,Fast 70 Kilo Sprengstoff!,2022-01-11 16:47:09,Dresden,/regional/dresden/dresden-aktuell/sachsen-razzia-in-boeller-werkstatt-neben-gasleitung-78791634.bild.html,"
                                Der Zoll hat in bei einem Mann in Dresden enorme Mengen verbotene Pyrotechnik und selbstgebastelten Sprengstoff entdeckt.",False,12012022,Bild
Weiterer Betroffener meldet sich,Missbrauch im Bistum München,2022-01-12 12:32:52,München,/regional/muenchen/muenchen-aktuell/missbrauch-im-bistum-muenchen-weiterer-betroffener-meldet-sich-78800244.bild.html,"
                                München – Ein weiterer Mann soll als Kind von Priester H. missbraucht worden sein.",False,12012022,Bild
Haben die Eagles eine Chance gegen Tom Brady?,Kein Big Dick Nick,2022-01-12 11:20:12,American Football,/sport/american-football/nfl/nfl-playoffs-haben-die-philadelphia-eagles-eine-chance-gegen-tom-brady-78787320.bild.html,"
                                BILD stellt Ihnen den Super Bowl-Sieger von 2017 vor. Das sind die Philadelphia Eagles",False,12012022,Bild
Rote Ampel missachtet –  drei Verletzte,Hamburg-Jenfeld,2022-01-12 09:37:12,Hamburg,/regional/hamburg/hamburg-aktuell/hamburg-jenfeld-rote-ampel-missachtet-drei-verletzte-78797300.bild.html,"
                                Bei einem Unfall im Stadtteil Jenfeld sind am Dienstagabend drei Menschen verletzt worden.",False,12012022,Bild
Tierquäler-Vorwurf gegen Olympiasieger Beerbaum,Skandal im Reitsport,2022-01-12 07:29:19,Sport-Mix,/sport/mehr-sport/mehrsport/es-geht-um-das-verbotene-barren-vorwuerfe-gegen-olympiasieger-beerbaum-78795332.bild.html,"
                                32 Jahre nach dem Schockemöhle-Skandal droht dem deutschen Reitsport neue Aufregung ums „Barren“!",False,12012022,Bild
Kein Platz mehr für  Mvogo bei RB Leipzig,Blaswich kommt,2022-01-11 21:18:43,Bundesliga,/sport/fussball/fussball/blaswich-kommt-als-3-torwart-kein-platz-fuer-mvogo-bei-rb-leipzig-78793940.bild.html,"
                                RB Leipzig holt im Sommer einen neuen Torwart. Für Yvon Mvogo ist dann kein Platz mehr.",False,12012022,Bild
Christophersen tippt die Handball-EM,Sportchef und TV-Experte,2022-01-11 18:55:10,Sport-Mix,/sport/mehr-sport/handball/hannover-sportchef-und-tv-experte-christophersen-tippt-die-handball-em-78794108.bild.html,"
                                Er hat 101 Länderspiele für den DHB bestritten, seit Sommer 2018 ist Sven-Sören Christo...",False,12012022,Bild
Das sagt Smudo zur Kritik an seiner Luca-App,Star-Rapper,2022-01-11 16:45:00,Politik Inland,/politik/inland/politik-inland/star-rapper-smudo-wehrt-sich-gegen-kritik-an-seiner-luca-app-78783458.bild.html,"
                                Star-Rapper Smudo wehrt sich gegen die Kritik an seiner Luca-App.",False,12012022,Bild
In Pflegeheimen  geringer als erwartet,„Booster“-Quote,2022-01-12 12:31:01,Stuttgart,/regional/stuttgart/stuttgart-aktuell/booster-quote-in-baden-wuerttemberg-geringe-quote-in-pflegeheimen-78800240.bild.html,"
                                Zum Jahresende war jeder dritte Heimbewohner nicht „geboostert“.",False,12012022,Bild
Dschutti endlich wieder zu Hause,Wunder-Hund von der A4,2022-01-12 11:19:26,Frankfurt,/regional/frankfurt/frankfurt-aktuell/maintal-wunder-hund-von-der-a4-dschutti-endlich-wieder-zu-hause-78786820.bild.html,"
                                Dschutti (2) genießt es sichtlich, wieder zu Hause bei Frauchen Melanie Anwar zu sein.",False,12012022,Bild
Porsche verzeichnet deutliches Absatzplus,Im Jahr 2021,2022-01-12 09:37:40,Stuttgart,/regional/stuttgart/stuttgart-aktuell/im-jahr-2021-porsche-verzeichnet-deutliches-absatzplus-78797810.bild.html,"
                                Stuttgart – Porsche hat 2021 einen deutlichen Schub beim Absatz verzeichnet.",False,12012022,Bild
368 149 neue Corona-Fälle in Frankreich – an einem Tag,Historischer Höchstwert,2022-01-12 07:28:30,News Ausland,/news/ausland/news-ausland/frankreich-rekord-an-corona-neuinfektionen-binnen-24-stunden-78795342.bild.html,"
                                Frankreich hat innerhalb von 24 Stunden 368 149 Corona-Neuinfektion verzeichnet.",False,12012022,Bild
Fortuna rasiert ALLE außer Allofs!,Jobst neuer Boss,2022-01-11 21:04:44,2. Bundesliga,/sport/fussball/fussball/ex-schalker-jobst-neuer-boss-fortuna-rasiert-alle-ausser-allofs-78795630.bild.html,"
                                Dienstag um 19.30 Uhr platzte die Bombe! Fortuna ist seitdem ein ganz neuer Klub...",False,12012022,Bild
Der große Kader-Check bei Bayern,Wer kann gegen Köln?,2022-01-11 18:53:34,Bundesliga,/sport/fussball/fussball/fc-bayern-muenchen-wer-kann-gegen-koeln-der-grosse-kader-check-bei-bayern-78794280.bild.html,"
                                Wer kann am Samstag in Köln spielen und wer nicht?",False,12012022,Bild
Mann (53) nach versuchtem Mord in Psycho-Klinik,Helfer fast umgebracht,2022-01-11 16:44:30,Bremen,/regional/bremen/bremen-aktuell/helfer-fast-umgebracht-mann-nach-versuchtem-mord-in-psycho-klinik-78791726.bild.html,"
                                Nach einem versuchtem Mord wird Halil G. (53) nun in einer Psychiatrie untergebracht!",False,12012022,Bild
Weidener Chefarzt suspendiert,Gefälschter Impfnachweis?,2022-01-12 12:25:11,Nürnberg,/regional/nuernberg/muenchen-aktuell/gefaelschter-impfnachweis-weidener-chefarzt-suspendiert-78798076.bild.html,"
                                Weiden – Das Klinikum Weiden hat einen Chefarzt und eine Krankenschwester suspendiert.",False,12012022,Bild
Fan macht sich über Spieler lustig und dann DAS …,"„Er denkt, er ist f***ing Ronaldo“",2022-01-12,Sport,"https://www.bild.de/video/clip/sport-videos/fa-cup-denkt-er-er-ist-f-ing-ronaldo-fan-macht-sich-ueber-spieler-lustig-und-dan-78790864,auto=true.bild.html","
                                Barrows Ollie Banks mit einem unfassbaren Freistoß-Tor im FA Cup.",False,12012022,Bild
Der Schnell-Test ist nicht wetterfest,Alarm bei Minusgraden,2022-01-12 09:33:47,Hannover,/regional/hannover/hannover-aktuell/medizin-riese-schlaegt-alarm-der-schnell-test-ist-nicht-wetterfest-78786272.bild.html,"
                                750 Teststationen sind bei Wind und Wetter im Einsatz. Und genau das ist das Problem.",False,12012022,Bild
Wende in der Flutwein-  Schande?,Existenzen bedroht,2022-01-12 07:22:18,Frankfurt,/regional/frankfurt/frankfurt-aktuell/winzer-existenzen-bedroht-wende-in-der-flutwein-schande-78793522.bild.html,"
                                Kein Zugriff auf Spenden: Gespräche mit dem RLP-Finanzministerium sollen Bürokratie-Irrsinn beenden",False,12012022,Bild
Hertha klar mit Mini-Coman,Transfer-Ticker,2022-01-11 21:03:21,Bundesliga,/sport/fussball/fussball/transfer-ticker-borussia-dortmund-holt-das-naechste-super-talent-78777704.bild.html,"
                                BILD zeigt die wichtigsten News und Gerüchte zu den Winter-Wechseln in Fußball-Europa.",False,12012022,Bild
"Zander ist zurück, Aremu zwickt's",St. Paulis Rückkehr,2022-01-11 18:40:42,2. Bundesliga,/sport/fussball/fussball/st-paulis-rueckkehr-zander-ist-zurueck-aremu-zwickts-78793840.bild.html,"
                                Nach dem Trainingslager in Spanien trainierte der FC St. Pauli erstmals wieder zu Hause.",False,12012022,Bild
Drogen-Plantage in Brand-Haus,Emsland,2022-01-11 16:44:23,Bremen,/regional/bremen/bremen-aktuell/war-das-die-feuer-ursache-drogen-plantage-in-brand-haus-78792110.bild.html,"
                                Diese Hasch-Gärtner im Emsland ernten vermutlich harte Strafen!",False,12012022,Bild
Queen verschmäht Kloß-Geschenk aus Thüringen,Aber sie bedankt sich,2022-01-12 12:25:41,Thüringen,/regional/thueringen/thueringen-aktuell/aber-ein-dankesbrief-kam-queen-verschmaeht-kloss-geschenk-aus-thueringen-78795022.bild.html,"
                                Gastwirt Matthias Schade (43) schickte der Queen zu Weihnachten seine Kloß-Spezialitäten.",False,12012022,Bild
65 Kinder in zwei Jahren befreit,Bergisch Gladbach,2022-01-12 11:14:30,News Inland,/news/inland/news-inland/missbrauchskomplex-bergisch-gladbach-65-kinder-in-zwei-jahren-befreit-78798508.bild.html,"
                                Es ist nur eine von drei großen Missbrauchsserien, denen Ermittler in NRW auf die Spur kamen.",False,12012022,Bild
