Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Abschied vom Vierbeiner: Die Trauer um Haustiere bewältigen,15112021_08:26,https://www.sueddeutsche.de/leben/tiere-abschied-vom-vierbeiner-die-trauer-um-haustiere-bewaeltigen-dpa.urn-newsml-dpa-com-20090101-211112-99-975361,Tiere,dpa,,,15112021,Sueddeutsche,leben
Fußgängerin von Auto angefahren und getötet,15112021_08:25,https://www.sueddeutsche.de/wirtschaft/verkehr-lautenbach-fussgaengerin-von-auto-angefahren-und-getoetet-dpa.urn-newsml-dpa-com-20090101-211115-99-02276,Verkehr - Lautenbach,dpa,,,15112021,Sueddeutsche,wirtschaft
Lufthansa: Brauchen kein zweites Mal Staatshilfe,15112021_08:25,https://www.sueddeutsche.de/wirtschaft/luftverkehr-lufthansa-brauchen-kein-zweites-mal-staatshilfe-dpa.urn-newsml-dpa-com-20090101-211115-99-02246,Luftverkehr,dpa,,,15112021,Sueddeutsche,wirtschaft
Lufthansa: Brauchen kein zweites Mal Staatshilfe,15112021_08:24,https://www.sueddeutsche.de/wirtschaft/luftverkehr-frankfurt-am-main-lufthansa-brauchen-kein-zweites-mal-staatshilfe-dpa.urn-newsml-dpa-com-20090101-211115-99-02257,Luftverkehr - Frankfurt am Main,dpa,,,15112021,Sueddeutsche,wirtschaft
Corona-Inzidenz erreicht Höchstwert in Niedersachsen,15112021_08:22,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-corona-inzidenz-erreicht-hoechstwert-in-niedersachsen-dpa.urn-newsml-dpa-com-20090101-211115-99-02239,Gesundheit - Berlin,dpa,,,15112021,Sueddeutsche,gesundheit
Inzidenz springt über 400,15112021_08:20,https://www.sueddeutsche.de/muenchen/landkreismuenchen/landkreis-muenchen-corona-news-inzidenz-weihnachten-impfstoff-csu-1.4850845,Newsblog zum Coronavirus im Landkreis München,,Von SZ-Autoren,"Die Sieben-Tage-Inzidenz erreicht am Montag mit 407,8 ein Rekordniveau. Der Landkreis sichert sich 12 000 Dosen Impfstoff.
                        
                            Von SZ-Autoren",15112021,Sueddeutsche,muenchen
Wüst: Karnevalsauftakt am 11.11. in Köln war richtig,15112021_08:20,https://www.sueddeutsche.de/kultur/brauchtum-koeln-wuest-karnevalsauftakt-am-1111-in-koeln-war-richtig-dpa.urn-newsml-dpa-com-20090101-211115-99-02223,Brauchtum - Köln,dpa,,,15112021,Sueddeutsche,kultur
Inzidenz in Thüringen steigt: Zweithöchster Wert bundesweit,15112021_08:18,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-inzidenz-in-thueringen-steigt-zweithoechster-wert-bundesweit-dpa.urn-newsml-dpa-com-20090101-211114-99-992192,Gesundheit - Berlin,dpa,,,15112021,Sueddeutsche,gesundheit
Corona-Lagebericht: Inzidenz steigt weiterhin leicht,15112021_08:17,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-corona-lagebericht-inzidenz-steigt-weiterhin-leicht-dpa.urn-newsml-dpa-com-20090101-211115-99-02184,Gesundheit - Berlin,dpa,,,15112021,Sueddeutsche,gesundheit
Putin: Will Spannungen im Schwarzen Meer nicht verstärken,15112021_08:13,https://www.sueddeutsche.de/politik/putin-will-spannungen-im-schwarzen-meer-nicht-verstaerken-1.5464338,,,,"Video
                    
                    
                        Putin sagte zudem, USA und Nato hielten im Schwarzen Meer ungeplante Übungen ab. ""Das ist eine ernsthafte Herausforderung für uns.""",15112021,Sueddeutsche,politik
