Titel,URL,Date_Info,News_page,Kategorie,author
Gefährdete Auszahlung: Patientenschützer kritisieren geplanten Coronabonus für Pflegekräfte,https://www.spiegel.de/wirtschaft/soziales/corona-bonus-fuer-pflegekraefte-patientenschuetzer-kritisieren-auszahlung-a-aade82f6-91c4-47eb-bca1-9d1b02e0501c,04022022_07:50 ,Spiegel,wirtschaft,
Justizminister Buschmann: Co-Mutterschaft bei lesbischen Paaren soll rechtlich anerkannt werden,https://www.spiegel.de/panorama/gesellschaft/justizminister-marco-buschmann-co-mutterschaft-bei-lesbischen-paaren-rechtlich-anerkennen-a-deba11b8-f4ac-4080-9152-652286d8aea0,04022022_07:44 ,Spiegel,panorama,
+++ Olympia-Update +++: Nordischer Kombinierer Eric Frenzel positiv getestet,https://www.spiegel.de/sport/olympia/olympische-winterspiele-2022-tag-1-im-live-blog-a-3bc6702e-ab0f-4124-847c-ad219fc1a605,04022022_07:32 ,Spiegel,sport,
Wegen Angriffs auf Sportlerin Timanowskaja: US-Regierung beschließt Sanktionen gegen mehrere Belarussen,https://www.spiegel.de/ausland/fall-timanowskaja-us-regierung-beschliesst-sanktionen-gegen-mehrere-belarussen-a-12885bff-4bea-4300-a0bf-e7253671ff4a,04022022_07:16 ,Spiegel,ausland,
Vermittlung durch Google: Behörden sprechen erstmals mit Telegram-Betreibern,https://www.spiegel.de/netzwelt/netzpolitik/telegram-behoerden-sprechen-erstmals-mit-betreibern-a-30453bb8-7b15-4944-a19a-343cf6e204e7,04022022_07:14 ,Spiegel,netzwelt,
Faktencheck zur Omikron-Lage: Ist Durchseuchen das bessere Impfen?,https://www.spiegel.de/wissenschaft/medizin/omikron-einfach-laufen-lassen-die-these-von-der-durchseuchung-im-check-a-03286634-125c-4187-a616-f9afd64c955a,04022022_07:03 ,Spiegel,wissenschaft,Von Veronika Hackenbroch
Eröffnung des Trans Bhutan Trail: Der Königsweg,https://www.spiegel.de/reise/fernweh/trans-bhutan-trail-wird-wiedereroeffnet-der-koenigsweg-a-224072a7-6cf0-4eef-8788-d8125a3b498f,04022022_06:58 ,Spiegel,reise,Von Antje Blinda
Sicherheitskrise in Osteuropa: US-Außenminister Blinken unterzeichnet Militärvertrag mit Slowakei,https://www.spiegel.de/ausland/ukraine-us-aussenminister-antony-blinken-unterzeichnet-militaervertrag-mit-slowakei-a-0b225b5b-a2d8-4bd6-8c76-0baa5f720d5a,04022022_06:55 ,Spiegel,ausland,
"Staffelstart bei »Germany’s Next Topmodel«: Verachtung, aber jetzt wenigstens divers",https://www.spiegel.de/kultur/tv/staffelstart-bei-germany-s-next-topmodel-verachtung-jetzt-noch-vielfaeltiger-a-ce3362ed-31a3-4158-8a28-542a167dfa34,04022022_06:42 ,Spiegel,kultur,Von Carola Padtberg
Streit über Sicherheitsgarantien: Die Nato hat es sich denkbar einfach gemacht,https://www.spiegel.de/ausland/die-drohungen-russlands-gegen-die-ukraine-die-lustlose-antwort-der-nato-a-2d4485cb-b97d-45bb-8ca3-d0dea7a1bf8e,04022022_06:25 ,Spiegel,ausland,
Verzockt: Wohin die AfD nach Meuthens Austritt steuert,https://www.spiegel.de/politik/deutschland/podcast-a-b550d153-b2d9-46ba-b27d-da22389ee250,04022022_06:00 ,Spiegel,politik,Von Ann-Katrin Müller und Yasemin Yüksel
Die Lage am Morgen: Bitter-prächtige Spiele,https://www.spiegel.de/politik/deutschland/news-olympische-spiele-peking-wadimir-putin-olaf-scholz-pressefreiheit-a-80072477-f657-4bcb-b8c4-f4e9996f8f8f,04022022_05:51 ,Spiegel,politik,
Rotterdam: Bürgermeister rudert bei Brückenabbau für Bezos-Jacht zurück,https://www.spiegel.de/wirtschaft/rotterdam-buergermeister-rudert-bei-bruecken-abbau-fuer-jacht-von-jeff-bezos-zurueck-a-204c98d8-c0d1-41cb-ab90-0b1fff35d211,04022022_05:41 ,Spiegel,wirtschaft,
RKI zur Coronalage: Sieben-Tage-Inzidenz überschreitet erstmals Wert von 1300,https://www.spiegel.de/wissenschaft/medizin/robert-koch-institut-sieben-tage-inzidenz-steigt-erstmals-ueber-1300-a-12a37759-6898-48e9-adfa-adba334a16d7,04022022_04:54 ,Spiegel,wissenschaft,
Stuart Highway: Australische Traumstraße nach heftigen Regenfällen überflutet,https://www.spiegel.de/panorama/australien-traumstrasse-stuart-highway-teils-ueberflutet-southern-australia-besonders-betroffen-a-826f8d44-1866-4a60-a21b-89034a0e9fc0,04022022_04:49 ,Spiegel,panorama,
Stefanie Gebauer: Freie Wähler nominieren eigene Kandidatin für Bundespräsidentenwahl,https://www.spiegel.de/politik/deutschland/freie-waehler-nominieren-mit-stefanie-gebauer-eigene-kandidatin-fuer-bundespraesidentenwahl-a-24736bff-94b0-48cb-8be1-31b163bebf88,04022022_04:05 ,Spiegel,politik,
Größter Onlinehändler: Amazon kann Gewinn im vierten Quartal fast verdoppeln,https://www.spiegel.de/wirtschaft/unternehmen/amazon-quartalszahlen-konzern-von-jeff-bezos-kann-gewinn-im-vierten-quartal-fast-verdoppeln-a-59176504-da1d-4504-bc16-712a0b720c0e,04022022_03:50 ,Spiegel,wirtschaft,
Havarierte »Mumbai Maersk«: Containerschiff vor Wangerooge wieder freigeschleppt,https://www.spiegel.de/panorama/wangerooge-containerschiff-mumbai-maersk-wieder-freigeschleppt-a-3061b4c4-6696-4c9f-906d-1bdb73e17f95,04022022_03:18 ,Spiegel,panorama,
Schauspieler: Dieter Mann ist tot,https://www.spiegel.de/kultur/dieter-mann-ist-tot-a-53624d7b-0b9e-47fd-b7a5-eaabbab26365,04022022_03:01 ,Spiegel,kultur,
Spanien: Oppositionspolitiker stimmt falsch ab – und verabschiedet versehentlich Arbeitsmarktreform,https://www.spiegel.de/ausland/spanien-oppositionspolitiker-verabschiedet-versehentlich-arbeitsmarktreform-a-2aee53ef-9489-495a-ba3f-8efbda2670a8,04022022_02:24 ,Spiegel,ausland,
Spanischer Pokal: Real Madrid verliert in Bilbao – und der letzte Favorit ist draußen,https://www.spiegel.de/sport/fussball/copa-del-rey-real-madrid-scheidet-bei-athletic-bilbao-aus-a-c20b4b08-095c-4c29-9a0f-a2543d0deda6,04022022_01:59 ,Spiegel,sport,
"Gepanschte Drogen in Argentinien: »Wir bitten dringend darum, dieses Kokain nicht zu konsumieren«",https://www.spiegel.de/panorama/justiz/argentinien-behoerden-waren-nach-todesfaellen-vor-gepanschtem-kokain-a-8a2cf928-4929-456e-98bf-d86377b46b87,04022022_01:36 ,Spiegel,panorama,
Hochzeiten unter dem Taliban-Regime: »Der Bräutigam versteckte sich stundenlang«,https://www.spiegel.de/ausland/afghanistan-wenn-taliban-hochzeiten-stoeren-wie-auf-einer-beerdigung-a-16153f89-60d9-4cb9-89cd-f4a4430cb63c,04022022_01:32 ,Spiegel,ausland,"Von Emran Feroz und Zubair Hakim, Kabul"
Das Ganz-oder-gar-nicht-Prinzip: Warum ich als Mutter nicht Teilzeit arbeiten will,https://www.spiegel.de/familie/ganz-oder-gar-nicht-warum-ich-als-mutter-nicht-teilzeit-arbeiten-will-a-3f1a7b63-13ec-4c5c-b81b-5a31bff10c03,04022022_01:31 ,Spiegel,familie,
Bei einer Impfquote von 69 Prozent: Impfpflicht in Österreich hat letzte parlamentarische Hürde genommen,https://www.spiegel.de/ausland/oesterreich-impfpflicht-in-oesterreich-hat-letzte-parlamentarische-huerde-genommen-a-ac97091d-c605-4cfe-ae9d-f11abc0d3488,04022022_00:47 ,Spiegel,ausland,
Als Vorwand für Ukraine-Einmarsch: USA werfen Russland Produktion eines Fakevideos vor,https://www.spiegel.de/ausland/ukraine-konflikt-die-usa-werfen-russland-die-produktion-eines-fake-videos-vor-a-8fe3f07e-9278-43b4-ba25-1d093069879d,04022022_00:00 ,Spiegel,ausland,
Zufallsfund bei Studie: Aggressivere Variante von HIV in den Niederlanden entdeckt,https://www.spiegel.de/wissenschaft/mensch/aggressivere-variante-von-hiv-in-den-niederlanden-entdeckt-a-59eb29da-b206-4f43-b6a7-5d7636c6a8a7,03022022_23:52,Spiegel,wissenschaft,
