Titel,Overline,Date_Info,Kategorie,URL,detailed_informations,bild_plus,Zugriff_Datum,News_page
Reifenplatzer an Todes-Brummi schuld?,Horror-Unfall auf A620,2022-05-19 16:30:54,Saarland,/regional/saarland/saarland-news/horror-unfall-auf-a620-reifenplatzer-verdacht-bei-todes-brummi-80141864.bild.html,"
                                Vermutlich ein geplatzter Reifen war Grund für den tödlichen Unfall auf der A620-Brücke...",False,19052022,Bild
Aktivisten nerven Geheimdienste mit Scherzanrufen,Anti-Kriegs-Aktion in Russland,2022-05-19 14:57:06,Politik Ausland,/politik/ausland/politik-inland/ukraine-krieg-aktivisten-aergern-russen-geheimdienst-mit-scherzanrufen-80137788.bild.html,"
                                Die Besucher der Internet-Seite können Telefon-Konferenzen zwischen russischen Militärs starten.",False,19052022,Bild
Christoph nahm 153 Kilo (und 4 Schuhgrößen) ab,"Ohne Sport, Pillen, OP",2022-05-19 13:02:29,Ratgeber,/bild-plus/ratgeber/2022/ratgeber/ohne-op-ohne-sport-ohne-pillen-so-hat-christoph-153-kilo-abgenommen-80117534.bild.html,"
                                Er wog mehr als 250 Kilogramm, heute trägt er Slim fit. Christoph nahm über 150 Kilo ab.",True,19052022,Bild
"Mann (23) ertrinkt, als er „Titanic“-Szene nachspielt",Türkei-Tragödie,2022-05-19 10:29:32,News Ausland,/news/ausland/news-ausland/tuerkei-mann-23-ertrinkt-weil-er-titanic-szene-nachspielen-wollte-80123016.bild.html,"
                                In der Türkei ist ein junger Mann ertrunken, weil er eine Filmszene nachspielen wollte.",False,19052022,Bild
"Das erkennen Delfine, wenn sie Urin trinken",Schmecken statt riechen,2022-05-19 20:57:34,Ratgeber,/ratgeber/wissenschaft/ratgeber/studie-das-erkennen-delfine-wenn-sie-urin-trinken-80139456.bild.html,"
                                Sie nehmen einen tiefen Zug und dann wissen sie Bescheid …",False,19052022,Bild
„Let’s Dance“-Finale – Llambi legt sich fest!,Chefjuror legt sich fest,2022-05-19 19:55:02,TV,/unterhaltung/tv/tv/lets-dance-joachim-llambi-sein-favorit-fuers-finale-80137546.bild.html,"
                                Janin Ullmann, Mathias Mester und René Casselly – Juror Llambi macht den Kandidaten-Check.",False,19052022,Bild
Hartz-IV-Sanktionen werden für ein Jahr ausgesetzt,Bundestag beschließt,2022-05-19 17:55:39,Politik Inland,/politik/inland/news-inland/hartz-iv-sanktionen-bundestag-beschliesst-aussetzung-bis-mitte-2023-80141344.bild.html,"
                                Der Bundestag hat ein Gesetz zur Aussetzung der Hartz-IV-Sanktionen beschlossen. ",False,19052022,Bild
Merz fordert Lambrecht-Rauswurf,Klartext im Bundestag,2022-05-19 16:29:15,Politik Inland,/politik/inland/politik-inland/klartext-im-bundestag-merz-fordert-rauswurf-von-lambrecht-80139512.bild.html,"
                                Merz legt Kanzler Scholz die Entlassung der Verteidigungsministerin nahe.",False,19052022,Bild
Schiedsrichter gejagt und verletzt!,Nach Roter Karte,2022-05-19 14:57:59,Köln,/regional/koeln/koeln-aktuell/fussball-schiedsrichter-in-euskirchen-durch-flaschenwurf-verletzt-80140420.bild.html,"
                                Schlimme Gewalt-Szenen bei einem Amateur-Fußballspiel in Euskirchen (NRW).",False,19052022,Bild
Polizei Hagen fahndet nach brutalem Räuber,Nächtlicher Überfall,2022-05-19 13:00:25,Ruhrgebiet,/regional/ruhrgebiet/ruhrgebiet-aktuell/hagen-mann-nachts-brutal-in-seiner-wohnung-ueberfallen-polizei-fahndet-80139650.bild.html,"
                                ER soll gemeinsam mit einem Komplizen einen Mann (69) in seiner Wohnung beraubt haben.",False,19052022,Bild
Fragen zu Eigenheim und Mietwohnung? ,RUFEN SIE UNS AN!,2022-05-19 10:29:45,,/sparfochs/2022/sparfochs/mieten-oder-kaufen-was-wollen-sie-wissen-rufen-sie-an-80129170.bild.html,"
                                Top-Immobilienexperten beantworten Ihre Fragen rund um Eigenheim und Mietwohnung.",False,19052022,Bild
Stückel-Leiche aus Fluss identifiziert,Keine Straftat?,2022-05-19 20:54:39,Mecklenburg-Vorpommern,/regional/mecklenburg-vorpommern/mecklenburg-vorpommern-news/gruselfund-stueckel-leiche-aus-fluss-identifiziert-80145750.bild.html,"
                                Die Identität der Stückel-Leiche, die ein Angler Anfang Mai in Mecklenburg-Vorpommern entdeckte, ist geklärt.",False,19052022,Bild
Ric Flair vor   Mega-Comeback - mit 73!,Wrestling-Wahnsinn,2022-05-19 19:55:50,Sport-Mix,/sport/mehr-sport/wrestling/wrestling-wahnsinn-ric-flair-vor-mega-comeback-mit-73-80082290.bild.html,"
                                Das gibt es doch gar nicht! Ric Flair plant tatsächlich ein Wrestling-Comeback.",False,19052022,Bild
Frankfurt feiert Eintrachts Europa-Helden,Live vom Römer,2022-05-19,Fußball,"https://www.bild.de/video/clip/sport-videos/europa-league-frankfurt-feiert-eintracht-helden-auf-dem-roemer-80142144,auto=true.bild.html","
                                Der Europa-League-Sieger feiert seinen Titel im Herzen der Stadt",False,19052022,Bild
„Mick ist der Crash-Pilot der Formel 1“,Formel-1-Experte Danner,2022-05-19 16:29:37,Formel 1,/sport/motorsport/motorsport/formel-1-experte-danner-mick-ist-der-crash-pilot-der-formel-1-80142774.bild.html,"
                                Der Deutsche ist noch ohne Punkte. Die braucht er – auch als Argument für einen neuen Vertrag.",False,19052022,Bild
9-Euro-Ticket schon ab Samstag in Leipzig!,Wenn der Bundesrat zustimmt,2022-05-19 14:54:11,Leipzig,/regional/leipzig/leipzig-news/9-euro-ticket-schon-ab-samstag-in-leipzig-80133914.bild.html,"
                                Auch haben die LVB zum Test einige der doch unspektakulär aussehenden Tickets ausgedruckt.",False,19052022,Bild
Silber-Diebe plündern St. Michaelis,Lüneburg,2022-05-19 12:57:43,Hamburg,/regional/hamburg/hamburg-aktuell/lueneburg-silber-diebe-pluendern-st-michaelis-80138724.bild.html,"
                                Einbrecher hebelten die Eingangstür der Michaelis-Kirche auf und stahlen sakrale Gegenstände.",False,19052022,Bild
Rätsel um Trapps Trinkflasche,Reif ist Live vom 19.05.22,2022-05-19,,"https://www.bild.de/video/clip/video/reif-ist-live-raetsel-um-trapps-trinkflasche-80136686,auto=true.bild.html","
                                Fußball-Experte Marcel Reif spricht über den Erfolg von Eintracht Frankfurt in der Europa League. Den Poker um Lewandowski und die Relegation in der Bundesliga.",False,19052022,Bild
„Ich bleibe im Asowstal!“,Ukraine-Kommandeur meldet sich,2022-05-19 20:54:50,Politik Ausland,/politik/ausland/politik-ausland/ukraine-kommandeur-palamar-meldet-sich-bei-bild-ich-bleibe-im-asowstal-80145356.bild.html,"
                                Es sind dramatischen Stunden in der ostukrainischen Hafenstadt Mariupol. ",False,19052022,Bild
