02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_17122021_13_05_19_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_03122021_12_02_30.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_27122021_12_12_21_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_13122021_12_05_26_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche1_01012022_13_18_37.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche1_28122021_14_18_38.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche1_29122021_12_01_38.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche10_31122021_17_44_59.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_27112021_12_00_33_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_28112021_12_01_16_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche11_28122021_14_19_30.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_14112021_13_30_51.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche18_01012022_13_20_05.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_16122021_12_01_11_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_25112021_15_41_24_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche13_01012022_13_19_39.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_12122021_12_17_44_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche20_01012022_13_20_16.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_29112021_14_11_57_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche10_30122021_13_48_12.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_20122021_14_48_15_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche15_28122021_14_19_51.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_22112021_13_44_05_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_19122021_12_17_54_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche0_30122021_13_47_19.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_22122021_12_01_01_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_05_23_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche9_31122021_17_44_54.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_15112021_12_09_17_Page4.csv
