30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_18112021_14_11_39_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_18112021_14_11_34_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche18_29122021_12_03_06.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_28122021_14_18_13.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_09122021_16_30_47_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_27112021_12_00_36_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_04122021_12_00_49_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_14112021_13_29_58_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_27122021_12_13_02.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_27112021_12_00_29_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_17112021_12_01_45_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_15122021_21_03_42_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_16112021_15_39_14.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_14112021_13_29_40_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_11122021_12_03_42_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_22122021_12_00_58_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche12_29122021_12_02_35.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_19122021_12_34_49_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_26112021_17_25_50_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche14_29122021_12_02_46.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_22122021_12_01_08_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_01_47_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_09122021_16_30_54_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_16112021_15_38_22_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_01122021_11_38_14_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_28112021_12_01_12_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_26112021_17_26_38.csv
