keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7
Beschäftigte,-3.429687719711279,0.009987504639075268,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-3.1313524977074896,0.024318301214553754,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.7127,0.8506,0.8773,0.7572,0.4854,0.4769,0.1503
Besuch,-3.58875239242937,0.005979734614045795,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-3.482133496517308,0.00845797598510804,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.2352,0.3212,0.463,0.4661,0.5892,0.4576,0.5675
Betrieb,-2.8289894972337963,0.05425065380611037,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-3.402692966040647,0.010867410438742134,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.9643,0.6979,0.4083,0.2132,0.1656,0.1394,0.1226
Betrug,-4.17016344049001,0.0007398602207394662,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-12.28597536065466,8.024474557820324e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7874,0.791,0.9225,0.7895,0.6965,0.5865,0.3865
Bewohner,-12.532853412511725,2.4072115205270646e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.8050019055996303,0.05756282600890591,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0856,0.1294,0.1807,0.164,0.1994,0.3105,0.3239
Biden,-2.551550280741591,0.10342988351414906,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-9.360689191413602,7.838011941064558e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4714,0.6291,0.641,0.441,0.3897,0.4093,0.4364
Bielefeld,-8.160384826807642,9.177533236483413e-13,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.1694504388930396,0.021822517442428174,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.2708,0.3198,0.4863,0.5984,0.1469,0.2776,0.3256
Bilanz,-2.8149506470030383,0.05616970595146749,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-10.61434185394758,5.725993018127253e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1651,0.3395,0.5108,0.2251,0.2749,0.3834,0.5884
Bild,-4.468092228973984,0.00022445982339979893,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-11.72827578249201,1.36094993426691e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.127,0.3065,0.4135,0.5188,0.5729,0.329,0.358
Bilder,-10.734362856177997,2.9246742853265177e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.1852727623216985,0.21163394786799822,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",0.4664,0.2463,0.2172,0.3123,0.3908,0.3626,0.3691
Bis,-8.711767753000103,3.5752366965657126e-14,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.226409947293444,0.018505967177150764,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.377,0.6101,0.6662,0.5634,0.7233,0.5101,0.6229
