keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7
Dax,-2.6996010923147176,0.0741073229318603,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.83146326075268,0.36495668749314797,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",0.159,0.0411,0.02,0.0398,0.045,0.0601,0.1742
Debatte,-9.277263244829554,1.279005687054131e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.2311937094494816,0.018248593890154263,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.3316,0.6524,0.8549,0.8323,0.7257,0.9062,0.8581
Demo,-4.245493295352036,0.0005513214706376727,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-2.313555106584746,0.16763344200763036,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",0.2503,0.3936,0.5315,0.4169,0.6694,0.7778,0.8285
Demos,-2.243472362198417,0.19084734049928498,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.7846901202802377,0.06049417297153794,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.4549,0.2906,0.4707,0.5708,0.885,0.9569,0.9305
Derby,-2.984965733529137,0.036322465273696626,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-5.326866852118111,4.81590602475236e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.9654,0.4823,0.5046,0.4945,0.5838,0.5405,0.4524
Deutlich,-12.732462957113569,9.311767914570312e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.048511438344411,2.6305050903818614e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3473,0.5628,0.6256,0.7913,0.5702,0.6871,0.0792
Deutsche,-3.738433932250989,0.0036039011016645176,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.179495862478058,0.21377125551441184,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.0004,0.002,0.0131,0.0433,0.0924,0.0613,0.104
Deutscher,-3.020985212389651,0.03298057880673772,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-5.184293610908625,9.464983789654468e-06,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.6534,0.8381,0.6498,0.7272,0.9159,0.9333,0.7774
Deutschland,-3.01225840807503,0.03376536948068188,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-1.1610641769699566,0.6901167806526425,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",0.017,0.0835,0.1666,0.2604,0.2118,0.3174,0.5793
Dienstag,-1.428487231597927,0.5685453767157462,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.534926640945529,0.10720587827939482,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.5509,0.7307,0.1883,0.3035,0.2283,0.1835,0.0106
Djokovic,-3.628336949330334,0.005241830887745802,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.7889186771642946,0.0030227481722567137,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.1382,0.0069,0.0001,0.0004,0.0015,0.0033,0.0001
Dollar,-8.701179417293458,3.805573107946683e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.881743593872574,4.682906685092536e-12,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.4295,0.5381,0.6677,0.0106,0.0067,0.0157,0.0151
Donnerstag,-2.8292014691609504,0.05422209349805274,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-1.4939043691673393,0.5365245762875247,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",0.9929,0.6761,0.5547,0.1412,0.2555,0.1197,0.0669
Dortmund,-10.431750251992659,1.6040296049112548e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.419105120053267,6.944042126121655e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2301,0.3481,0.5379,0.7047,0.8164,0.4431,0.3671
Drei,-12.291585458733445,7.805170458843484e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.7686379970265484,0.0032449908864174777,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.6752,0.1045,0.2472,0.1391,0.105,0.1099,0.0634
Dresden,-6.170214997550032,6.834073121974194e-08,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.934544534265119,2.9858566179449062e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.2536,0.3975,0.7113,0.8639,0.8884,0.8687,0.9273
Dresdner,-11.58780993377164,2.8394425394438487e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.949277216804615,2.7937589561720997e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.7205,0.0303,0.0369,0.0678,0.0991,0.0877,0.1377
Drogen,-4.445556685867459,0.00024631966473856833,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.990403903133807,2.3184399995034982e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.4294,0.6358,0.7466,0.8515,0.8145,0.7764,0.6113
Druck,-9.312645677184351,1.0390629876972024e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.015177847953728,6.761674522987554e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.1964,0.1326,0.2664,0.4459,0.6018,0.7088,0.7772
Duell,-10.312843115662739,3.1524073068221527e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.9005557257529464,0.04528341228296755,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.1769,0.3134,0.2909,0.3626,0.2897,0.2829,0.4987
Dynamo,-3.2623363924720783,0.01664830481195875,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-4.895226289703068,3.562824731369729e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.9004,0.4875,0.7265,0.734,0.4532,0.5034,0.6241
Dänemark,-2.733421241452087,0.06843132699860753,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-1.7712621840887715,0.3948196397878321,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",0.5113,0.3595,0.5194,0.6936,0.664,0.7991,0.8038
Düsseldorf,-3.057045353131455,0.029899695195162487,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-3.7981112640843415,0.002926698453652409,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.4133,0.3948,0.2844,0.4383,0.2555,0.3492,0.4306
Ehefrau,-12.713180265949951,1.019682799325154e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.196197289126188,6.137335512392339e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9456,0.9613,0.9729,0.9709,0.9724,0.1408,0.0844
Einbrecher,-7.483312436212743,4.709700965314849e-11,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-4.5019367330713616,0.00019506145627120388,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.7076,0.6562,0.6909,0.7763,0.8592,0.8686,0.8772
Einbruch,-6.308079534723085,3.285753353478654e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-11.86817919985126,6.599065557536939e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1289,0.0911,0.1105,0.1613,0.2627,0.1704,0.0171
Eine,-13.08036657791938,1.8763030321879605e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.477133869463896,1.3225702276677594e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.8516,0.8577,0.8786,0.923,0.9726,0.9575,0.9606
Einfamilienhaus,-2.8429920872951757,0.05239021730324958,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-13.041650425428687,2.234720073513292e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4126,0.5502,0.4773,0.6158,0.4775,0.6067,0.741
Einsatz,-7.474003989238024,4.968709192869386e-11,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.543277318151164,0.10529632904158465,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.9629,0.8452,0.9705,0.9748,0.9581,0.9874,0.9892
Eintracht,-8.219728569109648,6.478410422326586e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.6359876310035655,0.08578509248597233,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.9431,0.2692,0.4,0.5555,0.6755,0.7394,0.6489
Einzelhandel,-3.6433646776418644,0.004984100927776607,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-2.0556261670870692,0.2627275822702576,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.2835,0.5152,0.0614,0.1176,0.1585,0.2258,0.3708
Elf,-5.801943788591417,4.609196476275477e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-9.472969444815547,4.059549878019481e-16,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.5521,0.0476,0.0929,0.1172,0.125,0.1864,0.225
Eltern,-11.786347081851682,1.0066866282886815e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.011864567963238,6.095193654428473e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0128,0.0399,0.0591,0.0569,0.0675,0.1204,0.1582
Ende,-1.157914841015258,0.6914327953101236,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-0.9774799420270945,0.761389111619972,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0701,0.0968,0.0642,0.1595,0.2406,0.4398,0.4871
Endlich,-4.458423094888518,0.0002336032148875595,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-11.270836083971144,1.5383460476232222e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0597,0.1699,0.1068,0.182,0.3019,0.2098,0.2988
Energie,-2.8964466579068944,0.04576276587979361,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-1.2936507297518336,0.6320720831321248,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.9555,0.0167,0.0404,0.0604,0.0504,0.1952,0.31
Entscheidung,-2.064697254797101,0.2589448131184222,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-10.880196181923486,1.3006845894449118e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3837,0.25,0.4715,0.6405,0.6603,0.7183,0.5023
Erfolg,-9.123612799710799,3.156598545022039e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.372523115941007,3.867623166761611e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.6766,0.8612,0.8776,0.9571,0.9041,0.9276,0.9534
Erfurt,-6.332159105953985,2.888579322699041e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-4.9786864872959296,2.4452735210221983e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.1986,0.1848,0.2669,0.4084,0.5764,0.4889,0.2608
Ermittler,-6.866059064848745,1.5580909700303907e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.678456652228122,0.07784097414259435,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.0864,0.1727,0.1429,0.1033,0.2293,0.4786,0.6005
Erste,-4.974972486288751,2.4868527248955287e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.0168263569035587,0.2792444083436907,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.8385,0.9849,0.2033,0.306,0.3558,0.4853,0.3866
Eskalation,-1.980820333381409,0.29504551056618344,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-5.099244670659709,1.4068105052078881e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.2143,0.8475,0.8804,0.9474,0.7438,0.8049,0.2562
Essen,-7.599986749268117,2.4035457952905038e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.284751177238624,1.2239762831034633e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0361,0.0355,0.0567,0.0997,0.1643,0.257,0.2838
Euro,-4.850182879986253,4.355746341164604e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-1.531764456037537,0.517743514310268,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.636,0.0373,0.062,0.0972,0.1624,0.044,0.0031
Europa,-3.2541620723805833,0.017055965304260703,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-1.6003148035106,0.4834353309580848,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",0.0407,0.3406,0.0613,0.0944,0.1208,0.1473,0.158
Experte,-2.5337215646044853,0.1074835732580613,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-12.198546212068266,1.2383691502814066e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0094,0.0106,0.0422,0.0135,0.0103,0.0009,0.0006
Explosion,-5.6029832816115155,1.2524857433013135e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-9.038161125458606,5.2205396598327176e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5805,0.7299,0.323,0.1114,0.0513,0.0918,0.1356
Facebook,-6.620869222564733,6.041878140222856e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.200254662361656,0.019969943092709812,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",0.2393,0.4055,0.0003,0.0003,0.0002,0.004,0.0154
Fahrer,-11.388777143260139,8.165172109384384e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.337744045298554,0.00038190582358166894,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.0597,0.0737,0.047,0.0222,0.0361,0.0709,0.0852
Fahrt,-7.477963889722692,4.85683976276998e-11,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-10.385429353529053,2.086078866945453e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8328,0.8069,0.5947,0.6595,0.7685,0.843,0.9039
Fall,-3.090027831227301,0.027300029652902298,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-8.558359708638985,8.832467717026275e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0886,0.2213,0.3796,0.435,0.429,0.5142,0.6108
Familie,-1.5547497169842837,0.506274799197367,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-13.229615537600752,9.644056572533799e-25,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0647,0.2097,0.539,0.6415,0.5945,0.7189,0.1735
Fans,-3.5654874742063125,0.006456164583427896,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-2.0102955181580313,0.28207719856639424,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.8088,0.9483,0.9661,0.9412,0.8926,0.8873,0.8835
Fast,-12.155779266275456,1.533299608772186e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.045755743190695,1.4559836688811346e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7352,0.4211,0.6016,0.174,0.171,0.2544,0.2262
Februar,-1.7490130903986973,0.40605262406212844,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.5616317564076314,0.5028330003754702,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fehler,-3.477189234970516,0.008592616480200562,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-1.7223842150310356,0.41961791800247206,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",0.2023,0.4442,0.4563,0.5885,0.6055,0.6772,0.8809
Festnahme,-8.895083358101786,1.2130522300277413e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.824323309275941,1.772747493592241e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.6957,0.8554,0.9657,0.9384,0.9431,0.9701,0.9785
Feuer,-1.4622279620336198,0.5521070720601552,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-3.29222515050615,0.015229607721877132,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.129,0.2194,0.455,0.6792,0.5203,0.4068,0.5308
Feuerwehr,-12.47357981303347,3.204768453724695e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.4207113419122575,3.0639362120876993e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.7584,0.5083,0.565,0.7062,0.761,0.871,0.8235
Finale,-11.293977964565036,1.3579763516776816e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.57350012393862,0.09859886829543929,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.4982,0.7274,0.3637,0.233,0.2864,0.408,0.4733
