keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7,lowest_lag
Mann,-9.73494343449488,8.801071216567766e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.010967910682585,0.033882753139859986,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.7184,0.8807,0.9703,0.888,0.8816,0.8615,0.8145,
Mannheim,-2.791846600576796,0.059447894677091294,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-10.333144935203135,2.8082238641732083e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4828,0.7792,0.5688,0.293,0.1287,0.2275,0.3752,
Mariupol,-1.0476499245765125,0.7354910206129435,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-2.0696350032427207,0.2568984629206899,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.0002,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Marx,-2.185301400895085,0.21162338541249265,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-3.0866272410401407,0.027558791652581672,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.6908,0.7363,0.8875,0.893,0.9229,0.9022,0.9245,
Maske,-2.330113592092953,0.16243956468123916,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-3.307982835472808,0.014525390715944183,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.2803,0.5863,0.5498,0.2402,0.2968,0.6075,0.6059,
Maskenpflicht,-5.58756194013717,1.3520505002092342e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.5412962068103693,0.006987739758569428,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.0825,0.2613,0.1536,0.1974,0.1555,0.151,0.1923,
Mecklenburg-Vorpommern,-2.8251595371787497,0.05476880728978418,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-4.367018245786932,0.0003393718305285004,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.3314,0.7215,0.7983,0.8937,0.9612,0.951,0.7945,
Medien,-2.7200055369724505,0.07063995275173561,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-6.440317745533524,1.614201758210526e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.2154,0.2796,0.4687,0.5107,0.6827,0.0765,0.0617,
Meer,-2.8857853526237474,0.04702611308460939,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-9.607363163265907,1.8507498508517832e-16,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.5362,0.669,0.6831,0.8255,0.8317,0.7459,0.6682,
Mehr,-5.36599213757869,3.991204119268787e-06,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.364721501381033,0.15194200999410135,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.4083,0.5449,0.7445,0.4319,0.5704,0.7278,0.7575,
Mehrfamilienhaus,-1.757166556530499,0.4019249364590314,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-11.694287026356175,1.6247446479249281e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9029,0.9191,0.8441,0.9131,0.6867,0.674,0.7252,
Mehrheit,-7.33525380303007,1.1008566712917741e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.130973979935221,0.23224354136526093,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.2151,0.4776,0.6801,0.7447,0.8521,0.9227,0.9252,
Mein,-12.103259389016154,1.9957009055116212e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.652248213092285,4.629102088597492e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5417,0.8048,0.9284,0.9364,0.9589,0.9733,0.9918,
Mensch,-1.7259134855089633,0.4178129430709043,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-11.749237593799212,1.220391999438976e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0799,0.1892,0.3334,0.6141,0.1792,0.1689,0.1334,
Menschen,-9.856512688625594,4.345031929193623e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.2558332184963854,0.6491288374208635,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.2088,0.4892,0.4307,0.6036,0.5553,0.6476,0.6062,
Merkel,-2.588892670285096,0.09531472575433764,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-10.249566073518373,4.5229667905804365e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0849,0.0672,0.171,0.224,0.0968,0.0012,0.02,6.0
Merz,-8.163489716459102,9.011891397459765e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.0460519016550616,0.030811846882479055,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.3776,0.6601,0.7638,0.8753,0.9383,0.9457,0.9715,
Messer,-3.7549904372179617,0.003402890822696427,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-10.191580267364806,6.301750051877601e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0099,0.046,0.0367,0.0649,0.0099,0.0201,0.0184,1.0
Metall,-8.55143635898908,9.200301898756372e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.710968746898166,1.4893402572190615e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8986,0.617,0.4146,0.525,0.6599,0.4103,0.0435,7.0
Meter,-2.6413025532095817,0.08475773532006553,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",-4.426818671624422,0.0002660201170056589,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.5911,0.7086,0.6319,0.7838,0.6135,0.4551,0.4101,
Mexiko,-1.967197786691431,0.3011382792009955,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-9.984496063404078,2.072671530896352e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2953,0.4855,0.4127,0.5309,0.6949,0.6153,0.8227,
Migranten,-10.192975949756406,6.25158665958827e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.786875338507831,5.761881192647807e-05,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.4551,0.2813,0.3408,0.5911,0.6532,0.3325,0.2883,
Milliarden,-11.213688965417743,2.094991039796614e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.854743607954033,1.4975330447886808e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5417,0.6765,0.8805,0.9438,0.9438,0.9762,0.3496,
Million,-1.5642732928393754,0.501511071075772,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-13.491812395650582,3.095713156694408e-25,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.91,0.0429,0.0413,0.0123,0.0728,0.4907,0.4242,4.0
Millionen,-4.788172874027922,5.7291167378495284e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-2.470352806043757,0.12285543479005528,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.7376,0.0569,0.1718,0.1679,0.2812,0.1794,0.2528,
Minister,-3.793920365214229,0.002970133711393432,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-8.941991677167806,9.200207961053494e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3652,0.0909,0.1881,0.1858,0.4257,0.5528,0.6181,
Ministerin,-6.086584091514142,1.0608149344225109e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.1059570090307456,0.24212601491635571,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.651,0.4549,0.384,0.5654,0.5907,0.5492,0.6499,
Ministerium,-1.6462968929907285,0.4589724132159775,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",-2.0115535558069784,0.2815303570283809,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.7357,0.1188,0.2202,0.3444,0.5039,0.7996,0.8608,
Ministerpräsident,-7.093337963498989,4.35279975831208e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.792738969704113,9.73914397595084e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1153,0.2778,0.3092,0.4873,0.6048,0.5831,0.6832,
Minuten,-5.244737934139073,7.119586553002005e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-11.9213106267232,5.024684618629291e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7898,0.9802,0.9603,0.9845,0.2192,0.3177,0.3845,
Missbrauch,-3.0119125774154236,0.03379679243685565,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-9.181758992190138,2.2420904341742066e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8512,0.4161,0.5027,0.2751,0.0287,0.0428,0.0793,5.0
Mitarbeiter,-2.780113878639764,0.06117098486217466,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-10.45854239738149,1.3782214729481529e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.556,0.6502,0.8783,0.8618,0.88,0.9203,0.9076,
Mitte,-10.927134395913683,1.0035672091946479e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.735409120001862,1.3113597752182212e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4666,0.7483,0.915,0.3272,0.4838,0.6045,0.6001,
Mittwoch,-2.1534544667648885,0.22357014839845046,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-4.078661584310097,0.001050242790995891,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.1427,0.33,0.038,0.0523,0.0385,0.0727,0.7108,3.0
Montag,-3.0813376391015606,0.0279654692231447,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-3.1116113761115503,0.025705743038797992,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.8733,0.6455,0.4812,0.5259,0.3885,0.488,0.6073,
Mord,-2.4640429331222786,0.1244699379910319,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-12.666036012858935,1.2742378818725858e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2849,0.302,0.4438,0.6165,0.3956,0.6475,0.7012,
Morgen,-6.636772170279641,5.5373353588201115e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-1.5706959912045046,0.49829502938617143,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.641,0.0973,0.1634,0.2554,0.387,0.1715,0.2784,
Moskau,-2.5236925996459725,0.10981556126325887,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-3.930869823309071,0.0018190496930619814,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.0374,0.0582,0.1035,0.0661,0.0947,0.1096,0.1212,1.0
Motorradfahrer,-4.2528738665568895,0.0005355121191457624,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-2.598637909438316,0.09327911077125711,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.1747,0.3507,0.2693,0.1779,0.2365,0.3566,0.4212,
Museum,-2.6630530090490683,0.0806528080988756,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-2.2686264196347232,0.1822862648545569,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",0.2882,0.19,0.0711,0.0905,0.1732,0.0041,0.0081,6.0
Musik,-2.712890024719792,0.07183416888696394,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-11.852098273384417,7.16837560456453e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5981,0.5672,0.5758,0.4738,0.6187,0.7599,0.8822,
Mutter,-11.024288273257786,5.881134341606838e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.592211548613669,6.48415245160462e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1884,0.1927,0.3539,0.3228,0.5079,0.4367,0.7168,
Mädchen,-9.902337965197118,3.3322411922543434e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.8423135451381727,0.35966561472030584,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",0.3349,0.6196,0.6585,0.7784,0.8433,0.7798,0.8465,
Männer,-11.578354025299811,2.9844605571528645e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.137553960383567,0.2296844434908878,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0957,0.1848,0.299,0.421,0.5721,0.6943,0.7954,
März,-1.9301491283243688,0.31801359981644595,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-1.8804988476922122,0.34128994004012414,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.2485,0.3789,0.2472,0.0321,0.0431,0.0453,0.0469,4.0
Müll,-4.022251983118381,0.0012983722738332114,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-6.38536939641782,2.1708855304095028e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.3326,0.6987,0.6281,0.6064,0.7494,0.8326,0.7404,
Müller,-11.680207240204584,1.7487304319756068e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.866995427907646,4.9708344609702824e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8341,0.9111,0.9185,0.8603,0.7823,0.7592,0.6803,
München,-2.555903023960848,0.10245794201065017,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-5.4360094300724215,2.8446296072666407e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.6468,0.548,0.2155,0.2831,0.0474,0.1084,0.2499,5.0
Münchner,-12.152885034912725,1.5556783531870086e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.342091095695617,8.741588515139489e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9789,0.3452,0.4818,0.5,0.6426,0.7594,0.8326,
Nach,-12.531534518079688,2.4225392749427066e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.6002605674715658,0.09294342539936895,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.3496,0.1437,0.2423,0.2991,0.3703,0.3754,0.3613,
Nachfrage,-2.571427518545806,0.0990475715749472,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.8529912389018928,0.3544881016782467,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",0.6969,0.8217,0.6445,0.7967,0.8708,0.7596,0.8052,
Nachrichten,-2.368604955557259,0.1507941586868568,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-3.5006625091348154,0.007970095716499384,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.8126,0.0401,0.0299,0.0579,0.0956,0.0767,0.0764,3.0
Nacht,-12.555328993920794,2.160732356571729e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.805590997916755,0.3776894726319045,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.6989,0.9862,0.75,0.8223,0.4543,0.5598,0.5606,
Nadal,-9.877789042976518,3.841132696018502e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.766967939611117,5.503974216059989e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.4827,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Nagelsmann,-8.609794821569372,6.522522939329127e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.0382112904698588,0.7390738275407048,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0651,0.1162,0.0734,0.1039,0.0159,0.0088,0.0203,6.0
Nationalspieler,-4.2145114413981215,0.0006226070595980091,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-2.949490093417218,0.039888256332017896,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.3084,0.6695,0.2247,0.4104,0.3916,0.4191,0.2206,
Nato,-3.7594673230219358,0.003350333186278446,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-7.9473451880999,3.1936526490420567e-12,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.2238,0.24,0.5089,0.18,0.2785,0.3774,0.3617,
Netz,-9.589831137149476,2.0501694567387354e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.026604942866838,5.806898343146522e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9011,0.5244,0.3738,0.3092,0.3248,0.4804,0.6354,
Neue,-2.0388726281841887,0.26979307322363666,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-5.7147722114113835,7.162925167690011e-07,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.0474,0.1351,0.2587,0.0724,0.1096,0.0879,0.0926,1.0
Neuer,-4.505247246758201,0.0001923912477596253,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-4.247255768851886,0.0005475067333528914,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.1077,0.3319,0.3653,0.0162,0.0046,0.0033,0.0053,6.0
Neues,-2.568429627249679,0.09969933398819253,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-4.1966916761945825,0.0006674483120253172,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.108,0.2443,0.2911,0.6023,0.7024,0.6405,0.8034,
New,-13.695267207991202,1.320593667338048e-25,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.668939634977843,4.21588774002429e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3819,0.6116,0.7308,0.7443,0.7459,0.7705,0.7541,
News,-10.140514772539902,8.444791172219273e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.2129662035027131,0.6679932557675324,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.8715,0.9083,0.8317,0.9297,0.9722,0.9764,0.9493,
Nicht,-6.328068317325268,2.9525533653885334e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-4.8089814507523165,5.227472058276636e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.5481,0.3987,0.3491,0.5089,0.5798,0.577,0.61,
Niederlage,-7.281685021113652,1.4946778044616818e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-9.315552756009389,1.0214817405418668e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1919,0.0468,0.0966,0.1531,0.1138,0.1678,0.2008,2.0
Niedersachsen,-5.559061252879453,1.556755742299118e-06,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.17702059706038,0.6834019454345789,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",0.074,0.0757,0.1604,0.2996,0.2831,0.4408,0.383,
Niveau,-3.537281770192133,0.007079680007941976,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-10.218005383262218,5.417239837407465e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4091,0.7268,0.4742,0.4677,0.5649,0.7263,0.8083,
Noch,-10.576354668942798,7.089002544976885e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-13.392338690172503,4.740330300605898e-25,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2844,0.1185,0.1521,0.2635,0.4628,0.339,0.4384,
Nord,-5.450095077261038,2.65625504419074e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-7.304677873744508,1.3109324451159065e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.4331,0.5073,0.682,0.6517,0.7846,0.6796,0.1733,
Norden,-8.608017610307714,6.59121619273592e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.620257907112302,0.0001185081971205282,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.0969,0.2105,0.3269,0.3078,0.4378,0.5743,0.7499,
Nordkorea,-3.8879242979923387,0.0021255370423457222,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.077725821967649,0.0010539699402112542,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.5587,0.7798,0.7683,0.5916,0.7031,0.774,0.69,
Nordosten,-3.315330256023816,0.014206964970718034,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-1.868560370500267,0.34699272066415093,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0791,0.0573,0.028,0.0634,0.0436,0.0197,0.0324,6.0
Nordrhein-Westfalen,-8.001073615412185,2.3331552793303493e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.993779897859714,6.953268174838174e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3801,0.7125,0.8986,0.9535,0.8981,0.9505,0.9004,
Not,-11.704825375748744,1.5378186526774165e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.625030297933438,1.1224579495539607e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.7166,0.7611,0.8637,0.8894,0.9251,0.9388,0.9702,
Novavax,-6.83804150181147,1.8211195426954313e-09,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.176570075620764,0.000721725863287947,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.5764,0.7385,0.647,0.7936,0.834,0.832,0.8932,
Nummer,-9.979065961961796,2.138659366635081e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.491802873722655,4.71659713551086e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4167,0.6032,0.3082,0.1016,0.0331,0.0624,0.072,5.0
Nur,-11.512398798120074,4.228711886006891e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.521687559001935,0.007447270950580003,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.4319,0.373,0.5002,0.6112,0.464,0.451,0.4314,
Nürnberg,-9.667240914134675,1.3052924758062975e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.6866122192198727,0.07638372918247019,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.4004,0.1962,0.2372,0.4039,0.4706,0.4707,0.5902,
Ohne,-11.803545380574404,9.209549570186703e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.994442561090498,3.460248712391991e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.393,0.612,0.4258,0.5684,0.5731,0.8199,0.7469,
Olaf,-10.34943387351731,2.559637331607529e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.133488551055927,8.29329992417372e-08,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.444,0.7436,0.5753,0.647,0.6975,0.0001,0.0003,6.0
Olympia,-2.472586790100521,0.12228751027615792,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.0395511474322348,0.2695049444936976,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Omikron,-5.672873232377285,8.83955068854175e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-1.9058846639186144,0.3292978633623265,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.3451,0.9072,0.9613,0.9826,0.9946,0.9983,0.9995,
