keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7,lowest_lag
Jahren,-12.130767278538865,1.738074093939057e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.615202870289357,5.6983748611340245e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5744,0.8452,0.948,0.0042,0.0072,0.0118,0.0222,4.0
James,-2.1037123573131202,0.24302446661793592,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-7.3455686653998455,1.0378123507717782e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.0141,0.0109,0.0279,0.0666,0.1197,0.1234,0.1487,2.0
Januar,-2.9277958303467626,0.042209886402302915,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.879785989516309,0.04774961236182239,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.1029,0.2705,0.3539,0.0724,0.0587,0.0627,0.0249,7.0
Jetzt,-10.532284635851056,9.08645336513717e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.28693108341562,7.986674693458257e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2241,0.3287,0.3833,0.1672,0.2276,0.3067,0.3024,
Job,-10.684211320175953,3.8705009498468215e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.728437137342453,3.0230019333342107e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0197,0.0579,0.1098,0.1853,0.207,0.2095,0.369,1.0
Joe,-10.604601344386818,6.048002810786281e-19,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.791160461985258,2.36277140224003e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.7965,0.3809,0.5703,0.6257,0.7338,0.5312,0.667,
Johnson,-1.8702842919985347,0.3461668066924518,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-2.2049924345527008,0.2044384836010662,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0071,0.0108,0.0132,0.0582,0.1597,0.1529,0.1349,1.0
Jugendliche,-9.495630907999743,3.5553796019418593e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.056082848965735,4.6976009729580685e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7127,0.784,0.7267,0.8576,0.7881,0.8326,0.9121,
Junge,-11.571823951610568,3.0889763989363483e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.0398261857288302,0.26938819854875456,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",0.0761,0.2528,0.2411,0.3872,0.1393,0.2119,0.0226,7.0
Justiz,-10.458836104620179,1.3759324880391687e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.067930933679454,2.384637843993213e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.658,0.6467,0.662,0.7647,0.8933,0.5943,0.6834,
Kabinett,-10.501047466952185,1.0838129832231613e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.9807595479570719,0.2950725598143199,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.6751,0.6477,0.5994,0.739,0.8041,0.8865,0.0022,7.0
Kaiserslautern,-7.4876709191632855,4.5930788517651966e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.51182381039139,0.00018718950358218692,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.046,0.086,0.1261,0.0146,0.0333,0.0592,0.1024,4.0
Kalenderblatt,-12.680240314946385,1.1913342952959632e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.7043080203455645,8.259856683370646e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.3927,0.6298,0.7709,0.8553,0.956,0.9858,0.9923,
Kampf,-7.0314650354746595,6.169684303180946e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-10.93949950105182,9.374118362847609e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5423,0.1979,0.3461,0.2715,0.2691,0.2876,0.2333,
Kanada,-1.6731294754930384,0.44500742933217896,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-3.51229595016655,0.007676866628745433,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.1925,0.4438,0.0118,0.0311,0.059,0.1057,0.1299,3.0
Kann,-12.428420749622871,3.9904803225342085e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.852535048025661,7.1522708794161515e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.018,0.052,0.0997,0.1476,0.1878,0.2079,0.283,1.0
Kanzler,-2.845143626269083,0.05210904107132317,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-9.70863777939025,1.0256686899542597e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8389,0.999,0.8547,0.6937,0.4441,0.592,0.5368,
Kardinal,-2.088200846755848,0.24928549231345598,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-2.788250925391044,0.059971737539738425,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0943,0.3316,0.0523,0.0473,0.0816,0.1244,0.0679,4.0
Karneval,-3.1658004414050946,0.022051608793760016,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-2.393939155684096,0.14345434950175834,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.7237,0.1871,0.3266,0.1069,0.0026,0.0077,0.0061,5.0
Karriere,-10.272209620027283,3.974393468670997e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.2812814305281774,0.0004785615429059965,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.7058,0.8798,0.9232,0.5562,0.6317,0.6659,0.7785,
Katar,-1.4208122864928745,0.5722587835418258,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-2.2311361435602164,0.1951394922620352,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.0011,0.0005,0.0003,0.0007,0.0014,0.003,0.0043,3.0
Kaum,-11.081704880755748,4.295089851019972e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.91310008620816,1.0908243987895778e-14,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.9059,0.8703,0.5775,0.7452,0.7712,0.8541,0.8887,
Kein,-3.5460643514893615,0.006879939165299886,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-5.853484498831044,3.544300708153264e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.9212,0.5956,0.7205,0.4897,0.6474,0.762,0.8501,
Kiel,-2.342560646896341,0.15860836264104117,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.5319442772096488,0.10789411034262508,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.3351,0.4771,0.4285,0.4981,0.0535,0.0731,0.0894,
Kiew,-3.5350465730530547,0.007131343240639802,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.3535566699134702,0.15527584055633603,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.2872,0.3352,0.4977,0.686,0.8041,0.8535,0.8023,
Kind,-11.385378423790941,8.314945686270688e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.942352724906628,1.0174521228722107e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.3081,0.5897,0.8082,0.6825,0.7934,0.8858,0.9457,
Kinder,-1.146044775919874,0.6963650682020384,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-10.159565464199774,7.570630621634645e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2652,0.4314,0.6523,0.8295,0.8912,0.7536,0.6763,
Kirche,-2.5235427035307536,0.10985070017440929,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-4.419546684113862,0.0002740610169601858,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.2996,0.166,0.0384,0.0284,0.0285,0.1112,0.2181,4.0
Klage,-1.7912338872823546,0.38482242833212454,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.5087634270180845,0.11335662257270962,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.6318,0.4533,0.1141,0.1828,0.2197,0.2679,0.2801,
Klimaschutz,-2.7507678119603893,0.06565761711337746,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-8.334159950106864,3.3068054055898274e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.354,0.2794,0.3464,0.2728,0.3592,0.485,0.3521,
Klinik,-10.243091229590306,4.6934249704928644e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.689945405089264,0.07579437221990576,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.4626,0.7574,0.7432,0.8869,0.97,0.893,0.9513,
Knapp,-9.36818180184137,7.501022305504852e-16,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-12.972850727197082,3.055466829651107e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1767,0.4515,0.5216,0.6409,0.5367,0.4977,0.6323,
Koalitionsvertrag,-4.178487902986469,0.0007163790691857619,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-2.289172907558426,0.1754837055043904,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.8357,0.9444,0.8335,0.9263,0.7995,0.892,0.8423,
Kokain,-2.369852816355034,0.15042660845845884,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-1.8325873971019377,0.3644071364972319,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.8637,0.7556,0.3131,0.5171,0.6641,0.7148,0.7935,
Kollision,-3.3298822675822315,0.013594443977222334,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-4.987758850431185,2.3465044683012576e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.1385,0.3367,0.5325,0.6804,0.8173,0.4073,0.5274,
Konflikt,-2.7073164614214895,0.07278073635688903,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-9.32839091813055,9.473388290242896e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7422,0.5543,0.6569,0.6079,0.5899,0.4598,0.2332,
Konsequenzen,-10.85539017740969,1.4921775531122129e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.178349811548806,2.2874991751480116e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.369,0.5662,0.6752,0.7501,0.8518,0.934,0.9925,
Kontrolle,-10.32422607476688,2.9545026430948017e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.129989919277426,3.30055001463021e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.416,0.25,0.4276,0.6233,0.7002,0.8424,0.951,
Kopf,-11.733438593741662,1.3248721846603073e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.982204488941166,7.41002795271183e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.386,0.6381,0.7267,0.8459,0.1376,0.1671,0.2537,
Kosten,-2.0955523863982455,0.24630676617571462,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-12.25691274349629,9.265512388507894e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1015,0.0708,0.1236,0.2111,0.0496,0.145,0.3686,5.0
Kraft,-3.199425672967148,0.020017947600452998,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-9.712104649398364,1.0051802743427485e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8614,0.9604,0.7684,0.7155,0.4861,0.8293,0.9445,
Krankenhaus,-0.8885143144247671,0.7917312831783976,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-3.7371313893798273,0.003620168107837244,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.1983,0.4287,0.7134,0.094,0.0733,0.0627,0.2269,
Kreis,-2.1585803103712227,0.2216202210003721,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-5.044220177882039,1.8129669075512925e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.1562,0.3252,0.3173,0.1538,0.1791,0.3627,0.6008,
