keyword_name,lowest_lag_after_diff_News_grangerCauses_Wikipedia
Warnung,1.0
Welle,3.0
Weltkrieg,3.0
Werden,1.0
Westen,3.0
Wetterdienst,3.0
Winterspiele,7.0
Wirtschaft,3.0
Wochenende,7.0
Woelki,7.0
Wohnhaus,6.0
Woidke,2.0
Wolfsburg,3.0
World,7.0
Worte,4.0
Wut,6.0
Wähler,5.0
Yeliz,1.0
Ylenia,3.0
Z,2.0
Zahl,3.0
Zahlen,6.0
Zeit,1.0
Zeitung,7.0
Zeuge,6.0
Zeynep,7.0
Ziel,3.0
Zoll,3.0
Zugunglück,1.0
Zum,3.0
Zur,1.0
Zusammenstoß,6.0
Zuschauer,1.0
Zverev,7.0
Ärger,5.0
Übernahme,3.0
Überraschung,4.0
