keyword_name,lowest_lag_after_diff_Google_grangerCauses_Wikipedia
Oberbayern,5.0
Odessa,7.0
Ohne,7.0
Olaf,4.0
Oldenburg,6.0
Oma,3.0
Omikron,4.0
Opfer,6.0
Opposition,4.0
Osnabrück,3.0
Ostern,4.0
Osteuropa,1.0
Ostsee,7.0
Ostukraine,4.0
Paar,3.0
Paderborn,5.0
Palmer,7.0
Pandemie,7.0
Panzer,4.0
Papa,3.0
Papst,5.0
Paralympics,7.0
Paris,4.0
Park,4.0
Parkplatz,3.0
Parlament,6.0
Partner,4.0
Pause,6.0
Peking,7.0
Person,4.0
Peter,7.0
Pfingsten,1.0
Pflege,6.0
Pflicht,4.0
Pilot,3.0
Pistole,6.0
Plan,6.0
Pleite,7.0
Plus,3.0
Pläne,1.0
Pocher,5.0
Podcast,3.0
Politik,4.0
Politiker,3.0
Polizei,5.0
Polizeieinsatz,6.0
Polizist,4.0
Porsche,3.0
Post,3.0
Potsdam,4.0
Premier,5.0
Premiere,6.0
Priester,5.0
Prinz,5.0
Problem,5.0
Produktion,5.0
Profi,3.0
Prognose,5.0
Projekt,5.0
Promille,3.0
Propaganda,5.0
Protest,5.0
Prozent,5.0
Präsident,6.0
Psychiatrie,6.0
Punkt,5.0
Putin,7.0
Quarantäne,7.0
Rad,6.0
Rangers,1.0
Rangnick,6.0
Raser,6.0
Rathaus,6.0
Raus,4.0
Recht,5.0
Rede,6.0
Regen,7.0
Regierungschef,7.0
Region,5.0
Rehlinger,7.0
Reichsbürger,6.0
Reif,3.0
Reis,3.0
Reise,3.0
Reisen,4.0
Relegation,7.0
Remis,4.0
Rente,5.0
Respekt,6.0
Restaurant,4.0
Reul,5.0
Rhein,3.0
Richter,6.0
Risiko,5.0
Robert,3.0
Rock,3.0
Rom,3.0
Ronaldo,3.0
Rubel,7.0
Rund,1.0
Russen,5.0
Russland,5.0
Rätsel,3.0
Räuber,3.0
Rücken,3.0
Rückschlag,7.0
Rückzug,3.0
S-Bahn,6.0
Saarland,6.0
Sachschaden,5.0
Sachsen-Anhalt,6.0
Saison,3.0
Salihamidzic,5.0
Samstag,7.0
Sanierung,5.0
Sanktionen,6.0
Sarah,3.0
Sattelzug,4.0
Saudi-Arabien,2.0
Schaden,6.0
Schalke,7.0
Schatten,3.0
Schau,1.0
Schauspieler,6.0
Schiff,4.0
Schloss,3.0
Schluss,4.0
Schlägerei,1.0
Schmidt,5.0
Schnee,5.0
Schon,6.0
Schritt,7.0
Schröder,7.0
Schuld,7.0
Schule,5.0
Schulen,5.0
Schumacher,2.0
Schutz,7.0
Schwarz,3.0
Schweden,4.0
Schwedt,6.0
Schweizer,7.0
Schwerin,3.0
Schwesig,7.0
Schwester,7.0
Schüler,5.0
Schülern,2.0
Sechs,1.0
See,3.0
Sein,5.0
Seine,3.0
Sekunden,7.0
Selenskyj,1.0
Senat,6.0
Serie,2.0
Sex,5.0
Shanghai,6.0
Sicherheit,4.0
Sieben,7.0
Sieg,6.0
Siemens,6.0
Signal,7.0
Silber,3.0
Skandal,3.0
Sohn,6.0
Solidarität,3.0
Sommer,6.0
Song,3.0
Sonne,3.0
Sonnenschein,2.0
Sorge,3.0
Spandau,3.0
Spanien,3.0
Spaß,5.0
Spiel,3.0
Spielen,1.0
Spielplan,3.0
Sport,5.0
Sprit,7.0
Spur,3.0
Staatsanwalt,7.0
Stadion,4.0
Stadt,5.0
Stadtrat,6.0
Stand,3.0
Star,4.0
Starker,6.0
Stars,2.0
Staus,4.0
Steinmeier,1.0
Steuer,5.0
Steuern,7.0
Stoltenberg,2.0
Straubing,6.0
Stream,5.0
Streifenwagen,3.0
Streit,2.0
Stress,5.0
Strom,4.0
Studie,5.0
Studierende,4.0
Stunde,3.0
Sturm,1.0
Sturmflut,1.0
Sturmtief,4.0
Sturz,5.0
Stuttgart,3.0
Städte,7.0
Stürmer,2.0
Supermarkt,3.0
Sylt,4.0
Symbol,5.0
Süden,3.0
Süle,1.0
Tag,6.0
Talent,5.0
Tatort,7.0
Teams,6.0
Teenager,5.0
Tempo,6.0
Tempolimit,4.0
Tesla,5.0
Test,5.0
Texas,4.0
Theater,3.0
Thema,6.0
Thioune,5.0
Thomas,7.0
Thüringen,6.0
Thüringer,3.0
Tiefe,3.0
Tiere,7.0
Tisch,3.0
Tod,3.0
Tom,4.0
Top,3.0
Tore,7.0
Torwart,3.0
Tour,7.0
Trainer,3.0
Training,5.0
Traktor,3.0
Trapp,2.0
Trauer,5.0
Traum,4.0
Trio,3.0
Trotz,5.0
Trump,4.0
Truppen,2.0
Tränen,6.0
Tschechien,3.0
Tunnel,4.0
Turnier,3.0
Tötung,5.0
Tür,2.0
U-Ausschuss,6.0
Uhr,4.0
Ukraine,5.0
Ukraine-Konflikt,6.0
Ukraine-Krise,7.0
Ukrainekrieg,1.0
Ukrainer,2.0
Ulm,3.0
Umsatz,5.0
Unbekannte,4.0
Unfall,7.0
Uni,3.0
Union,3.0
United,5.0
Unter,3.0
Unternehmen,3.0
Unterricht,4.0
Untersuchungsausschuss,6.0
Untersuchungshaft,6.0
Unwetter,5.0
Urlaub,3.0
Urlauber,1.0
Vater,4.0
Verband,2.0
Verbraucher,6.0
Verdacht,3.0
Verein,7.0
Verfahren,7.0
Verfassungsschutz,4.0
Vergangenheit,5.0
Vergleich,4.0
Verkehr,6.0
Versorgung,1.0
Verstappen,1.0
Vertrag,5.0
Viel,3.0
Viele,3.0
Viertel,6.0
Virus,5.0
Visier,4.0
Vor,3.0
Vorbereitung,1.0
Vorbild,2.0
Vorfahrt,4.0
Vorschlag,1.0
Vorsicht,7.0
Vorstand,5.0
Vögel,3.0
Völler,6.0
Wachstum,1.0
Waffe,1.0
Wagen,6.0
Wagner,1.0
Wahl,4.0
Wahnsinn,7.0
Wald,3.0
Waldbrand,3.0
Waldhof,1.0
Walijewa,7.0
Walter,7.0
Wand,4.0
Wann,7.0
War,1.0
Warnstreik,2.0
Warten,5.0
Washington,3.0
Wasser,3.0
Wasserstoff,7.0
We,6.0
Weber,3.0
Weil,3.0
Welche,3.0
Welcher,3.0
Welle,5.0
Welt,3.0
Weltkrieg,2.0
Weltrekord,1.0
Wenig,6.0
Werden,3.0
Werner,6.0
Wert,7.0
Wetter,3.0
Wetterdienst,3.0
Widerstand,6.0
Wiesbaden,3.0
Will,4.0
Wind,1.0
