keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,ssr_ftest_pValue_lag1_before_diff,ssr_ftest_pValue_lag2_before_diff,ssr_ftest_pValue_lag3_before_diff,ssr_ftest_pValue_lag4_before_diff,ssr_ftest_pValue_lag5_before_diff,ssr_ftest_pValue_lag6_before_diff,ssr_ftest_pValue_lag7_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,ssr_ftest_pValue_lag1_after_diff,ssr_ftest_pValue_lag2_after_diff,ssr_ftest_pValue_lag3_after_diff,ssr_ftest_pValue_lag4_after_diff,ssr_ftest_pValue_lag5_after_diff,ssr_ftest_pValue_lag6_after_diff,ssr_ftest_pValue_lag7_after_diff,lowest_lag{diff_status}
Mainz,-3.7743961689349375,0.0031804115009058187,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-3.7743961689349375,0.0031804115009058187,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,True,0.2362,0.373,0.8242,0.0882,0.0148,0.0108,0.0237,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2362,0.373,0.8242,0.0882,0.0148,0.0108,0.0237,6.0
Mainz,-3.7743961689349375,0.0031804115009058187,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-3.7743961689349375,0.0031804115009058187,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,True,0.2362,0.373,0.8242,0.0882,0.0148,0.0108,0.0237,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2362,0.373,0.8242,0.0882,0.0148,0.0108,0.0237,6.0
Mal,-3.23939938695643,0.017814397596264415,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-3.23939938695643,0.017814397596264415,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,True,0.7134,0.9202,0.3395,0.5478,0.5313,0.6673,0.7733,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7134,0.9202,0.3395,0.5478,0.5313,0.6673,0.7733,
Mal,-3.23939938695643,0.017814397596264415,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-3.23939938695643,0.017814397596264415,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,True,0.7134,0.9202,0.3395,0.5478,0.5313,0.6673,0.7733,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7134,0.9202,0.3395,0.5478,0.5313,0.6673,0.7733,
Man,-8.860493997758912,1.487445233820167e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.860493997758912,1.487445233820167e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0483,0.0922,0.0961,0.2134,0.2815,0.3894,0.4977,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0483,0.0922,0.0961,0.2134,0.2815,0.3894,0.4977,1.0
Man,-8.860493997758912,1.487445233820167e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.860493997758912,1.487445233820167e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0483,0.0922,0.0961,0.2134,0.2815,0.3894,0.4977,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0483,0.0922,0.0961,0.2134,0.2815,0.3894,0.4977,1.0
Manchester,-3.180706926788411,0.02112895259147224,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-3.180706926788411,0.02112895259147224,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,False,False,0.723,0.9045,0.5641,0.6115,0.7066,0.8621,0.9077,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.723,0.9045,0.5641,0.6115,0.7066,0.8621,0.9077,
Manchester,-3.180706926788411,0.02112895259147224,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-3.180706926788411,0.02112895259147224,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,False,False,0.723,0.9045,0.5641,0.6115,0.7066,0.8621,0.9077,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.723,0.9045,0.5641,0.6115,0.7066,0.8621,0.9077,
Mann,-9.73494343449488,8.801071216567766e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.73494343449488,8.801071216567766e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.7184,0.8807,0.9703,0.888,0.8816,0.8615,0.8145,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7184,0.8807,0.9703,0.888,0.8816,0.8615,0.8145,
Mann,-9.73494343449488,8.801071216567766e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.73494343449488,8.801071216567766e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.7184,0.8807,0.9703,0.888,0.8816,0.8615,0.8145,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7184,0.8807,0.9703,0.888,0.8816,0.8615,0.8145,
Mannheim,-2.791846600576796,0.059447894677091294,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-2.791846600576796,0.059447894677091294,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",False,False,False,False,0.4828,0.7792,0.5688,0.293,0.1287,0.2275,0.3752,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4828,0.7792,0.5688,0.293,0.1287,0.2275,0.3752,
Mannheim,-2.791846600576796,0.059447894677091294,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-2.791846600576796,0.059447894677091294,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",False,False,False,False,0.4828,0.7792,0.5688,0.293,0.1287,0.2275,0.3752,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4828,0.7792,0.5688,0.293,0.1287,0.2275,0.3752,
Mariupol,-1.0476499245765125,0.7354910206129435,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-1.0476499245765125,0.7354910206129435,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",False,False,True,True,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Mariupol,-1.0476499245765125,0.7354910206129435,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-1.0476499245765125,0.7354910206129435,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",False,False,True,True,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Marx,-2.185301400895085,0.21162338541249265,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-2.185301400895085,0.21162338541249265,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",False,False,False,False,0.6908,0.7363,0.8875,0.893,0.9229,0.9022,0.9245,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6908,0.7363,0.8875,0.893,0.9229,0.9022,0.9245,
Marx,-2.185301400895085,0.21162338541249265,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-2.185301400895085,0.21162338541249265,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",False,False,False,False,0.6908,0.7363,0.8875,0.893,0.9229,0.9022,0.9245,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6908,0.7363,0.8875,0.893,0.9229,0.9022,0.9245,
Maske,-2.330113592092953,0.16243956468123916,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.330113592092953,0.16243956468123916,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,True,0.2803,0.5863,0.5498,0.2402,0.2968,0.6075,0.6059,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2803,0.5863,0.5498,0.2402,0.2968,0.6075,0.6059,
Maske,-2.330113592092953,0.16243956468123916,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.330113592092953,0.16243956468123916,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,True,0.2803,0.5863,0.5498,0.2402,0.2968,0.6075,0.6059,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2803,0.5863,0.5498,0.2402,0.2968,0.6075,0.6059,
Maskenpflicht,-5.58756194013717,1.3520505002092342e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-5.58756194013717,1.3520505002092342e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,True,0.0825,0.2613,0.1536,0.1974,0.1555,0.151,0.1923,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0825,0.2613,0.1536,0.1974,0.1555,0.151,0.1923,
Maskenpflicht,-5.58756194013717,1.3520505002092342e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-5.58756194013717,1.3520505002092342e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,True,0.0825,0.2613,0.1536,0.1974,0.1555,0.151,0.1923,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0825,0.2613,0.1536,0.1974,0.1555,0.151,0.1923,
Mecklenburg-Vorpommern,-2.8251595371787497,0.05476880728978418,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-2.8251595371787497,0.05476880728978418,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",False,False,False,True,0.3314,0.7215,0.7983,0.8937,0.9612,0.951,0.7945,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3314,0.7215,0.7983,0.8937,0.9612,0.951,0.7945,
Mecklenburg-Vorpommern,-2.8251595371787497,0.05476880728978418,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-2.8251595371787497,0.05476880728978418,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",False,False,False,True,0.3314,0.7215,0.7983,0.8937,0.9612,0.951,0.7945,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3314,0.7215,0.7983,0.8937,0.9612,0.951,0.7945,
Medien,-2.7200055369724505,0.07063995275173561,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-2.7200055369724505,0.07063995275173561,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",False,False,False,False,0.2154,0.2796,0.4687,0.5107,0.6827,0.0765,0.0617,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2154,0.2796,0.4687,0.5107,0.6827,0.0765,0.0617,
Medien,-2.7200055369724505,0.07063995275173561,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-2.7200055369724505,0.07063995275173561,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",False,False,False,False,0.2154,0.2796,0.4687,0.5107,0.6827,0.0765,0.0617,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2154,0.2796,0.4687,0.5107,0.6827,0.0765,0.0617,
Meer,-2.8857853526237474,0.04702611308460939,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-2.8857853526237474,0.04702611308460939,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,False,False,0.5362,0.669,0.6831,0.8255,0.8317,0.7459,0.6682,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5362,0.669,0.6831,0.8255,0.8317,0.7459,0.6682,
Meer,-2.8857853526237474,0.04702611308460939,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-2.8857853526237474,0.04702611308460939,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,False,False,0.5362,0.669,0.6831,0.8255,0.8317,0.7459,0.6682,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5362,0.669,0.6831,0.8255,0.8317,0.7459,0.6682,
Mehr,-5.36599213757869,3.991204119268787e-06,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-5.36599213757869,3.991204119268787e-06,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.4083,0.5449,0.7445,0.4319,0.5704,0.7278,0.7575,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4083,0.5449,0.7445,0.4319,0.5704,0.7278,0.7575,
Mehr,-5.36599213757869,3.991204119268787e-06,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-5.36599213757869,3.991204119268787e-06,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.4083,0.5449,0.7445,0.4319,0.5704,0.7278,0.7575,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4083,0.5449,0.7445,0.4319,0.5704,0.7278,0.7575,
Mehrfamilienhaus,-1.757166556530499,0.4019249364590314,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-1.757166556530499,0.4019249364590314,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,False,False,0.9029,0.9191,0.8441,0.9131,0.6867,0.674,0.7252,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9029,0.9191,0.8441,0.9131,0.6867,0.674,0.7252,
Mehrfamilienhaus,-1.757166556530499,0.4019249364590314,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-1.757166556530499,0.4019249364590314,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,False,False,0.9029,0.9191,0.8441,0.9131,0.6867,0.674,0.7252,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9029,0.9191,0.8441,0.9131,0.6867,0.674,0.7252,
Mehrheit,-7.33525380303007,1.1008566712917741e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-7.33525380303007,1.1008566712917741e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,True,0.2151,0.4776,0.6801,0.7447,0.8521,0.9227,0.9252,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2151,0.4776,0.6801,0.7447,0.8521,0.9227,0.9252,
Mehrheit,-7.33525380303007,1.1008566712917741e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-7.33525380303007,1.1008566712917741e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,True,0.2151,0.4776,0.6801,0.7447,0.8521,0.9227,0.9252,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2151,0.4776,0.6801,0.7447,0.8521,0.9227,0.9252,
Mein,-12.103259389016154,1.9957009055116212e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.103259389016154,1.9957009055116212e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5417,0.8048,0.9284,0.9364,0.9589,0.9733,0.9918,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5417,0.8048,0.9284,0.9364,0.9589,0.9733,0.9918,
Mein,-12.103259389016154,1.9957009055116212e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.103259389016154,1.9957009055116212e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5417,0.8048,0.9284,0.9364,0.9589,0.9733,0.9918,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5417,0.8048,0.9284,0.9364,0.9589,0.9733,0.9918,
Mensch,-1.7259134855089633,0.4178129430709043,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-1.7259134855089633,0.4178129430709043,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",False,False,False,True,0.0799,0.1892,0.3334,0.6141,0.1792,0.1689,0.1334,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0799,0.1892,0.3334,0.6141,0.1792,0.1689,0.1334,
Mensch,-1.7259134855089633,0.4178129430709043,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-1.7259134855089633,0.4178129430709043,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",False,False,False,True,0.0799,0.1892,0.3334,0.6141,0.1792,0.1689,0.1334,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0799,0.1892,0.3334,0.6141,0.1792,0.1689,0.1334,
Menschen,-9.856512688625594,4.345031929193623e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.856512688625594,4.345031929193623e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.2088,0.4892,0.4307,0.6036,0.5553,0.6476,0.6062,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2088,0.4892,0.4307,0.6036,0.5553,0.6476,0.6062,
Menschen,-9.856512688625594,4.345031929193623e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.856512688625594,4.345031929193623e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.2088,0.4892,0.4307,0.6036,0.5553,0.6476,0.6062,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2088,0.4892,0.4307,0.6036,0.5553,0.6476,0.6062,
Merkel,-2.588892670285096,0.09531472575433764,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-2.588892670285096,0.09531472575433764,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",False,False,False,False,0.0849,0.0672,0.171,0.224,0.0968,0.0012,0.02,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0849,0.0672,0.171,0.224,0.0968,0.0012,0.02,6.0
Merkel,-2.588892670285096,0.09531472575433764,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-2.588892670285096,0.09531472575433764,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",False,False,False,False,0.0849,0.0672,0.171,0.224,0.0968,0.0012,0.02,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0849,0.0672,0.171,0.224,0.0968,0.0012,0.02,6.0
