KeyWord,date,Occurence_in_News,normalized_Occurence_in_News,Occurence_in_Google,normalized_Occurence_in_Google,Occurence_in_Wikipedia,normalized_Occurence_in_Wikipedia,smoothened_normalized_Occurence_in_News,smoothened_normalized_Occurence_in_Google,smoothened_normalized_Occurence_in_Wikipedia,smoothened_Occurence_in_News,smoothened_Occurence_in_Google,smoothened_Occurence_in_Wikipedia
Schaden,2022-06-23,5,0.45454545454545453,69,0.69,53,0.4380165289256198,0.42424242424242425,0.7200000000000001,0.3498622589531681,4.666666666666667,72.0,42.333333333333336
Schaden,2022-06-24,3,0.2727272727272727,48,0.48,50,0.4132231404958678,0.39393939393939387,0.6433333333333333,0.38292011019283745,4.333333333333333,64.33333333333333,46.333333333333336
Schaden,2022-06-25,2,0.18181818181818182,55,0.55,30,0.2479338842975206,0.303030303030303,0.5733333333333334,0.3663911845730028,3.3333333333333335,57.333333333333336,44.333333333333336
Schaden,2022-06-26,6,0.5454545454545454,48,0.48,18,0.1487603305785124,0.3333333333333333,0.5033333333333333,0.2699724517906336,3.6666666666666665,50.333333333333336,32.666666666666664
Schaden,2022-06-27,11,1.0,64,0.64,36,0.2975206611570248,0.5757575757575757,0.5566666666666666,0.23140495867768593,6.333333333333333,55.666666666666664,28.0
Schaden,2022-06-28,6,0.5454545454545454,74,0.74,43,0.3553719008264462,0.6969696969696969,0.62,0.26721763085399447,7.666666666666667,62.0,32.333333333333336
Schaden,2022-06-29,7,0.6363636363636364,67,0.67,40,0.3305785123966942,0.7272727272727272,0.6833333333333332,0.32782369146005513,8.0,68.33333333333333,39.666666666666664
Schaden,2022-06-30,1,0.09090909090909091,84,0.84,31,0.256198347107438,0.42424242424242414,0.75,0.31404958677685946,4.666666666666667,75.0,38.0
Schaden,2022-07-01,7,0.6363636363636364,76,0.76,27,0.2231404958677686,0.45454545454545453,0.7566666666666667,0.2699724517906336,5.0,75.66666666666667,32.666666666666664
Schaden,2022-07-02,4,0.36363636363636365,46,0.46,30,0.2479338842975206,0.3636363636363636,0.6866666666666666,0.2424242424242424,4.0,68.66666666666667,29.333333333333332
Schaden,2022-07-03,5,0.45454545454545453,32,0.32,22,0.1818181818181818,0.4848484848484848,0.5133333333333333,0.21763085399449034,5.333333333333333,51.333333333333336,26.333333333333332
Schaden,2022-07-04,11,1.0,73,0.73,29,0.2396694214876033,0.606060606060606,0.5033333333333333,0.22314049586776855,6.666666666666667,50.333333333333336,27.0
Schaden,2022-07-05,6,0.5454545454545454,67,0.67,35,0.2892561983471074,0.6666666666666665,0.5733333333333334,0.23691460055096417,7.333333333333333,57.333333333333336,28.666666666666668
Schaden,2022-07-06,4,0.36363636363636365,66,0.66,38,0.3140495867768595,0.6363636363636364,0.6866666666666666,0.2809917355371901,7.0,68.66666666666667,34.0
Leben,2022-06-21,1,0.1,68,0.68,194,0.5359116022099447,0.0,0.0,0.0,0.0,0.0,0.0
Leben,2022-06-22,5,0.5,66,0.66,174,0.4806629834254143,0.0,0.0,0.0,0.0,0.0,0.0
Leben,2022-06-23,2,0.2,61,0.61,249,0.6878453038674033,0.26666666666666666,0.65,0.5681399631675874,2.6666666666666665,65.0,205.66666666666666
Leben,2022-06-24,10,1.0,64,0.64,226,0.6243093922651933,0.5666666666666668,0.6366666666666666,0.5976058931860037,5.666666666666667,63.666666666666664,216.33333333333334
Leben,2022-06-25,4,0.4,65,0.65,237,0.6546961325966851,0.5333333333333333,0.6333333333333333,0.6556169429097606,5.333333333333333,63.333333333333336,237.33333333333334
Leben,2022-06-26,3,0.3,66,0.66,199,0.5497237569060773,0.5666666666666668,0.65,0.6095764272559853,5.666666666666667,65.0,220.66666666666666
Leben,2022-06-27,8,0.8,64,0.64,239,0.6602209944751382,0.5000000000000001,0.65,0.6215469613259669,5.0,65.0,225.0
Leben,2022-06-28,5,0.5,65,0.65,190,0.5248618784530387,0.5333333333333333,0.65,0.5782688766114181,5.333333333333333,65.0,209.33333333333334
Leben,2022-06-29,5,0.5,59,0.59,180,0.4972375690607735,0.6000000000000001,0.6266666666666666,0.5607734806629834,6.0,62.666666666666664,203.0
Leben,2022-06-30,3,0.3,66,0.66,201,0.5552486187845304,0.4333333333333334,0.6333333333333333,0.5257826887661142,4.333333333333333,63.333333333333336,190.33333333333334
Leben,2022-07-01,8,0.8,62,0.62,222,0.6132596685082873,0.5333333333333334,0.6233333333333334,0.5552486187845304,5.333333333333333,62.333333333333336,201.0
Leben,2022-07-02,1,0.1,61,0.61,164,0.4530386740331492,0.40000000000000013,0.63,0.5405156537753223,4.0,63.0,195.66666666666666
Leben,2022-07-03,5,0.5,65,0.65,201,0.5552486187845304,0.4666666666666668,0.6266666666666666,0.5405156537753223,4.666666666666667,62.666666666666664,195.66666666666666
Leben,2022-07-04,9,0.9,68,0.68,290,0.8011049723756906,0.5000000000000001,0.6466666666666666,0.6031307550644568,5.0,64.66666666666667,218.33333333333334
Leben,2022-07-05,6,0.6,66,0.66,175,0.4834254143646408,0.6666666666666666,0.6633333333333334,0.6132596685082872,6.666666666666667,66.33333333333333,222.0
Leben,2022-07-06,2,0.2,60,0.6,198,0.5469613259668509,0.5666666666666668,0.6466666666666667,0.6104972375690608,5.666666666666667,64.66666666666667,221.0
Kinder,2022-06-21,6,0.6666666666666666,34,0.34,36,0.2769230769230769,0.0,0.0,0.0,0.0,0.0,0.0
Kinder,2022-06-22,7,0.7777777777777778,30,0.3,26,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Kinder,2022-06-23,8,0.8888888888888888,27,0.27,42,0.3230769230769231,0.7777777777777777,0.30333333333333334,0.26666666666666666,7.0,30.333333333333332,34.666666666666664
Kinder,2022-06-24,9,1.0,29,0.29,31,0.2384615384615384,0.888888888888889,0.2866666666666667,0.25384615384615383,8.0,28.666666666666668,33.0
Kinder,2022-06-25,2,0.2222222222222222,29,0.29,25,0.1923076923076923,0.7037037037037037,0.2833333333333333,0.2512820512820513,6.333333333333333,28.333333333333332,32.666666666666664
Kinder,2022-06-26,3,0.3333333333333333,34,0.34,38,0.2923076923076923,0.5185185185185185,0.30666666666666664,0.24102564102564097,4.666666666666667,30.666666666666668,31.333333333333332
Kinder,2022-06-27,6,0.6666666666666666,34,0.34,50,0.3846153846153846,0.4074074074074074,0.3233333333333333,0.28974358974358977,3.6666666666666665,32.333333333333336,37.666666666666664
Kinder,2022-06-28,3,0.3333333333333333,33,0.33,56,0.4307692307692308,0.4444444444444444,0.33666666666666667,0.36923076923076925,4.0,33.666666666666664,48.0
Kinder,2022-06-29,5,0.5555555555555556,30,0.3,40,0.3076923076923077,0.5185185185185185,0.3233333333333333,0.37435897435897436,4.666666666666667,32.333333333333336,48.666666666666664
Kinder,2022-06-30,2,0.2222222222222222,28,0.28,51,0.3923076923076923,0.3703703703703704,0.30333333333333334,0.3769230769230769,3.3333333333333335,30.333333333333332,49.0
Kinder,2022-07-01,4,0.4444444444444444,29,0.29,42,0.3230769230769231,0.40740740740740744,0.29000000000000004,0.341025641025641,3.6666666666666665,29.0,44.333333333333336
Kinder,2022-07-02,4,0.4444444444444444,29,0.29,33,0.2538461538461538,0.3703703703703704,0.2866666666666667,0.32307692307692304,3.3333333333333335,28.666666666666668,42.0
Kinder,2022-07-03,8,0.8888888888888888,31,0.31,27,0.2076923076923077,0.5925925925925926,0.29666666666666663,0.26153846153846155,5.333333333333333,29.666666666666668,34.0
Kinder,2022-07-04,3,0.3333333333333333,32,0.32,36,0.2769230769230769,0.5555555555555555,0.30666666666666664,0.24615384615384608,5.0,30.666666666666668,32.0
Kinder,2022-07-05,6,0.6666666666666666,32,0.32,29,0.2230769230769231,0.6296296296296297,0.31666666666666665,0.23589743589743586,5.666666666666667,31.666666666666668,30.666666666666668
Kinder,2022-07-06,0,0.0,31,0.31,37,0.2846153846153846,0.3333333333333333,0.31666666666666665,0.2615384615384615,3.0,31.666666666666668,34.0
Tod,2022-06-21,2,0.2,48,0.48,340,0.4644808743169399,0.0,0.0,0.0,0.0,0.0,0.0
Tod,2022-06-22,4,0.4,45,0.45,305,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
Tod,2022-06-23,4,0.4,48,0.48,280,0.3825136612021858,0.3333333333333333,0.47,0.4212204007285975,3.3333333333333335,47.0,308.3333333333333
Tod,2022-06-24,5,0.5,41,0.41,273,0.3729508196721312,0.43333333333333335,0.4466666666666666,0.39071038251366125,4.333333333333333,44.666666666666664,286.0
Tod,2022-06-25,3,0.3,56,0.56,322,0.4398907103825136,0.39999999999999997,0.4833333333333334,0.3984517304189435,4.0,48.333333333333336,291.6666666666667
Tod,2022-06-26,3,0.3,45,0.45,284,0.3879781420765027,0.3666666666666667,0.4733333333333334,0.40027322404371585,3.6666666666666665,47.333333333333336,293.0
Tod,2022-06-27,3,0.3,41,0.41,286,0.3907103825136612,0.3,0.4733333333333334,0.4061930783242258,3.0,47.333333333333336,297.3333333333333
Tod,2022-06-28,10,1.0,39,0.39,283,0.3866120218579235,0.5333333333333333,0.4166666666666667,0.38843351548269583,5.333333333333333,41.666666666666664,284.3333333333333
Tod,2022-06-29,4,0.4,39,0.39,304,0.4153005464480874,0.5666666666666665,0.39666666666666667,0.3975409836065573,5.666666666666667,39.666666666666664,291.0
Tod,2022-06-30,2,0.2,41,0.41,304,0.4153005464480874,0.5333333333333333,0.39666666666666667,0.4057377049180328,5.333333333333333,39.666666666666664,297.0
Tod,2022-07-01,2,0.2,39,0.39,337,0.4603825136612022,0.26666666666666666,0.39666666666666667,0.430327868852459,2.6666666666666665,39.666666666666664,315.0
Tod,2022-07-02,8,0.8,48,0.48,248,0.3387978142076502,0.4000000000000001,0.4266666666666667,0.40482695810564656,4.0,42.666666666666664,296.3333333333333
Tod,2022-07-03,1,0.1,42,0.42,285,0.3893442622950819,0.3666666666666667,0.43,0.3961748633879781,3.6666666666666665,43.0,290.0
Tod,2022-07-04,6,0.6,35,0.35,318,0.4344262295081967,0.5,0.4166666666666667,0.3875227686703096,5.0,41.666666666666664,283.6666666666667
Tod,2022-07-05,2,0.2,38,0.38,296,0.4043715846994535,0.3,0.3833333333333333,0.4093806921675774,3.0,38.333333333333336,299.6666666666667
Tod,2022-07-06,4,0.4,40,0.4,267,0.3647540983606557,0.39999999999999997,0.37666666666666665,0.40118397085610197,4.0,37.666666666666664,293.6666666666667
Ukraine,2022-06-21,14,0.7368421052631579,3,0.03,7308,0.0111799018775442,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,2022-06-22,11,0.5789473684210527,3,0.03,7455,0.0114047849612879,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,2022-06-23,17,0.8947368421052632,3,0.03,8105,0.0123991659438281,0.7368421052631579,0.03,0.011661284260886732,14.0,3.0,7622.666666666667
Ukraine,2022-06-24,19,1.0,3,0.03,8684,0.013284929926737,0.8245614035087719,0.03,0.012362960277284334,15.666666666666666,3.0,8081.333333333333
Ukraine,2022-06-25,6,0.3157894736842105,3,0.03,6850,0.0104792457390774,0.7368421052631579,0.03,0.012054447203214169,14.0,3.0,7879.666666666667
Ukraine,2022-06-26,5,0.2631578947368421,3,0.03,7250,0.0110911724975637,0.5263157894736842,0.03,0.011618449387792698,10.0,3.0,7594.666666666667
Ukraine,2022-06-27,15,0.7894736842105263,3,0.03,7464,0.0114185533133539,0.456140350877193,0.03,0.010996323849998333,8.666666666666666,3.0,7188.0
Ukraine,2022-06-28,16,0.8421052631578947,3,0.03,7177,0.01097949586414,0.6315789473684211,0.03,0.011163073891685867,12.0,3.0,7297.0
Ukraine,2022-06-29,6,0.3157894736842105,3,0.03,6840,0.0104639475701153,0.6491228070175438,0.03,0.010953998915869734,12.333333333333334,3.0,7160.333333333333
Ukraine,2022-06-30,5,0.2631578947368421,3,0.03,7332,0.0112166174830534,0.47368421052631576,0.03,0.010886686972436234,9.0,3.0,7116.333333333333
Ukraine,2022-07-01,14,0.7368421052631579,2,0.02,7474,0.011433851482316,0.43859649122807015,0.02666666666666667,0.011038138845161567,8.333333333333334,2.6666666666666665,7215.333333333333
Ukraine,2022-07-02,3,0.15789473684210525,2,0.02,6285,0.0096148991927156,0.3859649122807017,0.023333333333333334,0.010755122719361666,7.333333333333333,2.3333333333333335,7030.333333333333
Ukraine,2022-07-03,5,0.2631578947368421,3,0.03,7722,0.0118132460725775,0.3859649122807018,0.023333333333333334,0.010953998915869699,7.333333333333333,2.3333333333333335,7160.333333333333
Ukraine,2022-07-04,14,0.7368421052631579,3,0.03,8966,0.0137163382914698,0.3859649122807017,0.02666666666666666,0.0117148278522543,7.333333333333333,2.6666666666666665,7657.666666666667
Ukraine,2022-07-05,13,0.6842105263157895,3,0.03,7894,0.0120763745787266,0.5614035087719298,0.03,0.012535319647591301,10.666666666666666,3.0,8194.0
Ukraine,2022-07-06,6,0.3157894736842105,2,0.02,7028,0.0107515531466038,0.5789473684210525,0.02666666666666667,0.012181422005600068,11.0,2.6666666666666665,7962.666666666667
Welt,2022-06-21,4,0.5,55,0.55,122,0.4326241134751773,0.0,0.0,0.0,0.0,0.0,0.0
Welt,2022-06-22,5,0.625,54,0.54,110,0.3900709219858156,0.0,0.0,0.0,0.0,0.0,0.0
Welt,2022-06-23,5,0.625,57,0.57,106,0.375886524822695,0.5833333333333334,0.5533333333333333,0.39952718676122934,4.666666666666667,55.333333333333336,112.66666666666667
Welt,2022-06-24,4,0.5,56,0.56,124,0.4397163120567376,0.5833333333333334,0.5566666666666666,0.4018912529550827,4.666666666666667,55.666666666666664,113.33333333333333
Welt,2022-06-25,5,0.625,55,0.55,114,0.4042553191489361,0.5833333333333334,0.56,0.4066193853427896,4.666666666666667,56.0,114.66666666666667
Welt,2022-06-26,8,1.0,58,0.58,143,0.5070921985815603,0.7083333333333334,0.5633333333333334,0.450354609929078,5.666666666666667,56.333333333333336,127.0
Welt,2022-06-27,4,0.5,56,0.56,139,0.4929078014184397,0.7083333333333334,0.5633333333333334,0.46808510638297873,5.666666666666667,56.333333333333336,132.0
Welt,2022-06-28,2,0.25,53,0.53,128,0.4539007092198581,0.5833333333333334,0.5566666666666668,0.48463356973995264,4.666666666666667,55.666666666666664,136.66666666666666
Welt,2022-06-29,6,0.75,52,0.52,92,0.3262411347517731,0.5,0.5366666666666667,0.42434988179669025,4.0,53.666666666666664,119.66666666666667
Welt,2022-06-30,1,0.125,49,0.49,95,0.3368794326241134,0.375,0.5133333333333333,0.3723404255319149,3.0,51.333333333333336,105.0
Welt,2022-07-01,2,0.25,53,0.53,96,0.3404255319148936,0.375,0.5133333333333333,0.33451536643026003,3.0,51.333333333333336,94.33333333333333
Welt,2022-07-02,3,0.375,52,0.52,96,0.3404255319148936,0.25,0.5133333333333333,0.33924349881796684,2.0,51.333333333333336,95.66666666666667
Welt,2022-07-03,4,0.5,53,0.53,123,0.4361702127659574,0.375,0.5266666666666667,0.3723404255319149,3.0,52.666666666666664,105.0
Welt,2022-07-04,1,0.125,54,0.54,120,0.425531914893617,0.3333333333333333,0.53,0.40070921985815594,2.6666666666666665,53.0,113.0
Welt,2022-07-05,2,0.25,51,0.51,127,0.450354609929078,0.2916666666666667,0.5266666666666667,0.4373522458628842,2.3333333333333335,52.666666666666664,123.33333333333333
Welt,2022-07-06,6,0.75,49,0.49,126,0.4468085106382978,0.375,0.5133333333333333,0.4408983451536643,3.0,51.333333333333336,124.33333333333333
Juli,2022-06-21,2,0.25,21,0.21,292,0.3569682151589242,0.0,0.0,0.0,0.0,0.0,0.0
Juli,2022-06-22,2,0.25,21,0.21,330,0.4034229828850856,0.0,0.0,0.0,0.0,0.0,0.0
Juli,2022-06-23,3,0.375,23,0.23,318,0.3887530562347188,0.2916666666666667,0.21666666666666667,0.38304808475957614,2.3333333333333335,21.666666666666668,313.3333333333333
Juli,2022-06-24,2,0.25,24,0.24,289,0.3533007334963325,0.2916666666666667,0.22666666666666668,0.3818255908720456,2.3333333333333335,22.666666666666668,312.3333333333333
Juli,2022-06-25,0,0.0,22,0.22,234,0.2860635696821516,0.20833333333333334,0.22999999999999998,0.34270578647106764,1.6666666666666667,23.0,280.3333333333333
Juli,2022-06-26,0,0.0,29,0.29,274,0.334963325183374,0.08333333333333333,0.25,0.32477587612061937,0.6666666666666666,25.0,265.6666666666667
Juli,2022-06-27,1,0.125,31,0.31,409,0.5,0.041666666666666664,0.2733333333333334,0.37367563162184186,0.3333333333333333,27.333333333333332,305.6666666666667
Juli,2022-06-28,5,0.625,33,0.33,438,0.5354523227383863,0.25,0.31,0.45680521597392004,2.0,31.0,373.6666666666667
Juli,2022-06-29,8,1.0,36,0.36,500,0.6112469437652812,0.5833333333333334,0.3333333333333333,0.5488997555012225,4.666666666666667,33.333333333333336,449.0
Juli,2022-06-30,6,0.75,48,0.48,818,1.0,0.7916666666666666,0.38999999999999996,0.7155664221678891,6.333333333333333,39.0,585.3333333333334
Juli,2022-07-01,7,0.875,100,1.0,708,0.8655256723716381,0.875,0.6133333333333333,0.8255908720456397,7.0,61.333333333333336,675.3333333333334
Juli,2022-07-02,1,0.125,92,0.92,320,0.39119804400978,0.5833333333333334,0.8000000000000002,0.7522412387938061,4.666666666666667,80.0,615.3333333333334
Juli,2022-07-03,3,0.375,100,1.0,368,0.4498777506112469,0.4583333333333333,0.9733333333333333,0.5688671556642216,3.6666666666666665,97.33333333333333,465.3333333333333
Juli,2022-07-04,6,0.75,98,0.98,453,0.5537897310513448,0.4166666666666667,0.9666666666666668,0.4649551752241239,3.3333333333333335,96.66666666666667,380.3333333333333
Juli,2022-07-05,5,0.625,77,0.77,379,0.4633251833740831,0.5833333333333334,0.9166666666666666,0.48899755501222497,4.666666666666667,91.66666666666667,400.0
Juli,2022-07-06,4,0.5,76,0.76,341,0.4168704156479217,0.625,0.8366666666666668,0.47799511002444994,5.0,83.66666666666667,391.0
Deutschland,2022-06-21,13,0.7647058823529411,48,0.48,13684,0.2496488059401966,0.0,0.0,0.0,0.0,0.0,0.0
Deutschland,2022-06-22,8,0.47058823529411764,45,0.45,14587,0.2661230000182438,0.0,0.0,0.0,0.0,0.0,0.0
Deutschland,2022-06-23,11,0.6470588235294118,44,0.44,13670,0.2493933920785215,0.6274509803921569,0.4566666666666667,0.2550550660123206,10.666666666666666,45.666666666666664,13980.333333333334
Deutschland,2022-06-24,16,0.9411764705882353,47,0.47,13598,0.2480798350756207,0.6862745098039215,0.4533333333333333,0.25453207572412867,11.666666666666666,45.333333333333336,13951.666666666666
Deutschland,2022-06-25,8,0.47058823529411764,35,0.35,12464,0.2273913122799336,0.6862745098039215,0.42,0.2416215131446919,11.666666666666666,42.0,13244.0
Deutschland,2022-06-26,2,0.11764705882352941,43,0.43,14388,0.2624924744130042,0.5098039215686274,0.4166666666666667,0.24598787392285282,8.666666666666666,41.666666666666664,13483.333333333334
Deutschland,2022-06-27,7,0.4117647058823529,48,0.48,15474,0.2823052925400908,0.3333333333333333,0.42,0.2573963597443429,5.666666666666667,42.0,14108.666666666666
Deutschland,2022-06-28,15,0.8823529411764706,45,0.45,14581,0.2660135369346688,0.4705882352941176,0.4533333333333333,0.2702704346292546,8.0,45.333333333333336,14814.333333333334
