keyword_name,lowest_lag_after_diff_Google_grangerCauses_News
West,1.0
Wetterdienst,3.0
Wieder,3.0
Will,7.0
Wind,7.0
Windkraft,5.0
Winter,5.0
Winterspiele,1.0
Wirbel,2.0
Wirtschaft,2.0
Wissing,5.0
Wladimir,6.0
Wo,7.0
Wochenende,6.0
Wohnhaus,7.0
Wohnung,7.0
Wolf,4.0
Wut,4.0
Wüst,5.0
Yeliz,5.0
Ylenia,2.0
York,4.0
Zahl,6.0
Zahlen,6.0
Zeichen,5.0
Zeit,6.0
Zeitung,7.0
Zerstörung,6.0
Zeuge,1.0
Zeugen,1.0
Zeynep,4.0
Zoll,7.0
Zoo,1.0
Zu,7.0
Zug,1.0
Zugunglück,5.0
Zukunft,4.0
Zur,1.0
Zuschauer,5.0
Zverev,7.0
Ärzte,5.0
Österreich,5.0
Özdemir,3.0
Übernahme,6.0
Überraschung,4.0
