keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News
Kritik,-10.405921301155255,1.857015598886215e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.405921301155255,1.857015598886215e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-7.1807362685718745,2.6540612760148217e-10,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-7.1807362685718745,2.6540612760148217e-10,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",True,True,True,True,0.8675,0.8413,0.3471,0.0721,0.1364,0.1501,0.1785,0.6864,0.2783,0.3513,0.377,0.6329,0.5614,0.79,,
Kultur,-2.572529772325538,0.09880874931585193,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-2.572529772325538,0.09880874931585193,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",False,False,True,False,-2.7417156690035442,0.06709360254022141,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-2.7417156690035442,0.06709360254022141,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",False,False,True,True,0.1286,0.0858,0.0446,0.08,0.1826,0.1925,0.2469,0.7341,0.7413,0.4147,0.6233,0.8405,0.8621,0.931,3.0,
Kunst,-2.32868923981702,0.1628819751202082,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.32868923981702,0.1628819751202082,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,True,False,-10.186887271107313,6.473417308470516e-18,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-10.186887271107313,6.473417308470516e-18,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.7466,0.8498,0.9637,0.9929,0.9769,0.9783,0.9813,0.5668,0.7647,0.9598,0.9476,0.9364,0.7531,0.6621,,
Kurs,-4.981660140727784,2.4124665246979853e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.981660140727784,2.4124665246979853e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,False,-7.118112428019405,3.784118871014253e-10,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",-7.118112428019405,3.784118871014253e-10,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",True,True,True,True,0.4509,0.6085,0.3004,0.3981,0.4679,0.2874,0.2517,0.7447,0.6713,0.1919,0.3238,0.6108,0.6803,0.6735,,
Köln,2.488956169932492,0.9990462026138344,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",2.488956169932492,0.9990462026138344,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,False,False,-8.684265033582616,4.204695249877489e-14,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-8.684265033582616,4.204695249877489e-14,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,True,True,0.3822,0.3288,0.492,0.3794,0.1154,0.0518,0.0833,0.1335,0.219,0.304,0.4244,0.6014,0.6662,0.7322,,
Kölner,-11.252364356778491,1.6996112815927135e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.252364356778491,1.6996112815927135e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-7.565501771468275,2.933148141889078e-11,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-7.565501771468275,2.933148141889078e-11,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",True,True,True,True,0.1215,0.3228,0.2617,0.4218,0.6076,0.5201,0.5207,0.5479,0.8922,0.8513,0.9386,0.9709,0.892,0.889,,
Lage,-6.16270366499781,7.110380352620166e-08,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-6.16270366499781,7.110380352620166e-08,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,False,-8.41624304462629,2.0400713956774584e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.41624304462629,2.0400713956774584e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,False,True,0.8066,0.0077,0.0244,0.0164,0.0025,0.007,0.0002,0.0472,0.076,0.1328,0.2562,0.2578,0.0473,0.0858,7.0,1.0
Land,-8.851444237023435,1.56896551081735e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.851444237023435,1.56896551081735e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.879402142706999,1.3305395948461976e-14,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.879402142706999,1.3305395948461976e-14,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.916,0.3732,0.107,0.1392,0.0668,0.1234,0.1555,0.43,0.7324,0.6535,0.5192,0.5323,0.096,0.1178,,
Landesregierung,-10.08332751545193,1.1728894975412623e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.08332751545193,1.1728894975412623e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,-7.247822416352834,1.8127276168981023e-10,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-7.247822416352834,1.8127276168981023e-10,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",True,True,True,True,0.3588,0.5761,0.7597,0.8555,0.49,0.4982,0.5554,0.7105,0.7757,0.8735,0.6039,0.5562,0.6705,0.6119,,
Landkreis,-1.9889515824271897,0.2914383577100992,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.9889515824271897,0.2914383577100992,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,False,-12.13248063976073,1.7231961946156856e-22,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-12.13248063976073,1.7231961946156856e-22,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.9134,0.961,0.8268,0.8623,0.9131,0.175,0.0672,0.1339,0.2172,0.0462,0.0852,0.0447,0.1053,0.0942,,5.0
