KeyWord,Occurence
10H,5
10H-Regel,5
10H-Schranke,1
11-Ausbaus,1
11-Jähriger,2
11-Mio-Wolf,1
11-Stunden-Flug,1
110-Jahre-Rekord,1
110-Meter-Hürden-Weltrekord,1
110:70-Erfolg,1
111-Jährige,1
112-Nummern,1
"12,5-Mio.-Villa",1
12-Jährige,7
12-Jährigen,2
12-Jähriger,4
12-Millionen-Deal,1
12-Minuten-Nichtangriffspakt,1
12-Mio-Mann,2
12-Stunden-Transplantation,1
12-Tonner,1
120-Meter-Sturz,1
120-Millionen-Euro-Bau,1
120-Mio-Mann,2
125-Jähriges,2
12X,2
13-Jahres-Rekord,1
13-Jährige,14
13-Jährigen,9
13-Jähriger,36
13-Meter-Stamm,1
13-Tore-Woche,1
14-Jahres-Hoch,1
14-Jährige,30
14-Jährigem,3
14-Jährigen,8
14-Jähriger,39
14-Mio-Gemälde,1
14-Punkte-Plan,1
140-Millionen-Klage,1
14000-Punkte-Marke,1
14:0-Testseig,1
14S,2
15-Jährige,31
15-Jährigen,15
15-Jähriger,57
15-Meter-Baugerüst,1
15-Milliarden-Euro-Frage,1
15-Milliarden-Liste,1
15-Millionen-Strafe,2
15-Minuten-Takt,2
15-Minuten-Treffen,1
15-Minuten-Wutrede,1
15-Mio.-Deal,2
15-Mio.-Villa,2
15-Punkte-Plan,3
15-Punkte-Rückstand,1
15-Tage-Törn,2
15-Tore-Ziane,1
150-Kilo-Mann,2
150-Meter-Wand,2
1500-Euro-Problem,1
155-Meter-Hochhäuser,1
155-Meter-Türme,2
16-Bit-Zeitalter,1
16-Jährige,32
16-Jährigem,1
16-Jährigen,21
16-Jähriger,48
16-Kilometer-Zaun,1
16-Mio.-Problem,2
160-Tonnen-Kran,1
165000-Euro-Gehalt,1
16:29-Niederlage,1
17-Jährige,49
17-Jährigen,28
17-Jähriger,62
17-Mio-Stürmer,2
17-Personen-Team,1
17-Punkte-Rückstand,1
17-Tunnel,1
17:0-Lauf,1
17:24-Heimniederlage,1
18-Jährige,35
18-Jährigem,2
18-Jährigen,10
18-Jähriger,91
18-Minuten-Wahnsinn,1
18-Mio-Leihspieler,1
180-Grad-Wende,2
1860-Bus,1
1860-Coach,3
1860-Comeback,1
1860-Neuzugang,2
1860-Profis,1
1860-Talent,1
1860-Torwart,1
1860-Verbleib,1
187-Strassenbande-Rapper,1
19-Intensivpatienten,1
19-Jährige,23
19-Jährigem,2
19-Jährigen,9
19-Jähriger,78
1:0-Auswärtssieg,1
1:0-Erfolg,1
1:0-Fluch,1
1:0-Heimsieg,2
1:0-Sieg,3
1:0-Siegtreffer,2
1:0-Testspiel-Sieg,2
1:0-Vorteil,1
1:1-Krise,2
1:1-Remis,2
1:1-Situationen,1
1:2-Niederlage,1
1:2-Pleite,5
1:3-Testpleite,2
1:4-Heimpleite,1
1:4-Niederlage,1
1:4-Pleite,1
1:5-Pleite,2
1A-Polizeizeugnis,1
1G,2
1Live-Moderator,1
"2,08-Meter-Koloss",1
"2,42-Milliarden-Strafe",1
"2,5-Meter-Möwe",1
"2,8-Milliarden-Phantom",1
2-Cent-Stück,1
2-Euro-Marke,2
2-Euro-Münzen,1
2-G-Nachweisbefreiung,1
2-G-Plus,1
2-G-Regeln,1
2-Grad-Ziel,1
2-Jährige,2
2-Mio-Schlitten,1
2-Mio-Spritze,2
2-Mio.-Schwelle,1
2-Mio.-Spritze,6
2-Rekorde-Remis,1
2-Scheitern,1
2-Tochter,1
2.0-Drohschreiben,2
2.0-Drohungen,3
2.0-Prozess,5
2.Liga,4
20-Grad-Marke,1
20-Jahres-Hoch,2
20-Jährige,8
20-Jährigem,2
20-Jährigen,4
20-Jähriger,40
20-Meter-Sturz​,1
20-Millionen-Kredit,1
20-Millionen-Trumpf,1
20-Minuten-Tabellenführer,1
20-Mio.-Euro-Projekt,3
20-Tonnen-Buche,1
20-Tore-Schick,1
20.000-Euro-Spende,2
200-Betten-Hotel,1
200-Euro-Gutschein,1
200-Kilo-Löwe,2
200-Kilo-Schrank,1
200-Kilometer-Korridor,2
200-Meter-Meistertitel,1
200-Meter-Weltrekord,1
200-Millionen-Paket,1
2000-Pfund-Bonus,1
2030-Ziel,1
20:36-Niederlage,1
20:40-Niederlage,1
21-Baustelle,1
21-Gleise,1
21-Jährige,8
21-Jährigen,12
21-Jähriger,43
21-Kostensteigerungen,1
21-Partner,1
21-Punkte-Plan,1
22-Jährige,17
22-Jährigem,2
22-Jährigen,7
22-Jähriger,45
22-Millionen-Euro-Investition,1
222-Millionen-Euro-Wunder,1
225-Kilo-Fliegerbombe,1
227-Kilo-Einbrecher,1
23-Euro-Trikot,1
23-Jährige,15
23-Jährigem,1
23-Jährigen,6
23-Jähriger,31
23-Minuten-Schalte,1
230-Millionen-Dollar-Vertrag,1
24-Jährige,5
24-Jährigem,1
24-Jährigen,6
24-Jähriger,30
24-Stunden-Aktion,1
24-Stunden-Betreuerinnen,1
24-Stunden-Betreuung,1
24-Stunden-Kontrollaktion,1
24-Stunden-Lese-Marathon,1
24-Stunden-Rennen,3
24-Stunden-Streik,1
24-Stunden-Warnstreik,1
24-Tore-Terodde,1
24/7-Laden,1
24/7-Rufbereitschaft,1
240-Millionen-Dollar-Anwesen,2
241-Meter-Windräder,2
241-Mio-Euro-Handyrechnung,1
24:25-Pleite,1
24A,1
25-Jährige,12
25-Jährigem,1
25-Jährigen,4
25-Jähriger,34
25-Kilo-Stein,2
25-Meter-Flug,1
25-Meter-Loch,1
25-Meter-Sturz,1
25/B,1
250-Kilo-Fliegerbombe,1
250-Kilo-Statue,1
250-Kilogramm,1
250-Millionen-Euro-Fonds,1
255-Millionen-Euro-Klinik,1
25:30-Niederlage,1
"26,21-Meter-Welle",2
26-Jährige,7
26-Jährigen,7
26-Jähriger,28
26-Meter-Welle,1
26-Millionen-Metropole,2
26-Millionen-Stadt,1
26-Tonnen-Lkw,1
26-Tonner,2
26.März,2
26:26-Remis,1
27-Jährige,3
27-Jährigen,2
27-Jähriger,14
270-Kilo-Russe,2
27:25-Sieg,1
28-Jährige,4
28-Jährigen,6
28-Jähriger,22
28:24-Sieg,1
28:26-Sieg,1
28:29-Niederlage,1
28:35-Heimniederlage,1
29-Euro-Ticket,2
29-Jährigen,3
29-Jähriger,22
29-Millionen-Bonus,1
29:33-Niederlage,1
2:0-Führung,6
2:0-Sieg,7
2:1-Führung,1
2:1-Sieg,3
2:3-Niederlage,1
2:3-Pleite,4
2:5-Debakel,2
2:5-Pleite,2
2G,102
2G+,5
2G-Armbändchen,1
2G-Aufhebung,1
2G-Bedingungen,2
2G-Bändchen,1
2G-Ende,2
2G-Irrsinn,1
2G-Kontrolle,2
2G-Kontrollen,2
2G-Liste,1
2G-Pflicht,2
2G-Plus,3
2G-Plus-Chaos,1
2G-Regel,45
2G-Regeln,2
2G-Regelung,5
2G-Regelungen,1
2G-Regel​,1
2G-Shoppingbändchen,1
2G-Stempel,1
2G-Stopp,2
2G-Streit,2
2G-Zugangsbeschränkungen,1
2G-Zusatzkosten,1
2Geh,2
3-A-Plan,1
3-D-Brille,1
3-D-Druck,1
3-D-Stadtführungen,1
3-G-Nachweis,1
3-G-Regel,3
3-Jährige,2
3-Jähriger,1
3-Liter-Auto,1
3-Liter-Champagner,1
3-Milliarden-Euro-Flop,1
3-Mio.-Flop,2
3-Mio.-Streit,1
3-Prozent-Marke,2
3-Tage-Woche,1
3/4-Takt,1
30-Euro-Strafe,2
30-Grad-Hitze,2
30-Grad-Marke,1
30-Jährige,4
30-Jährigen,2
30-Jähriger,13
30-Meter-Baum,1
30-Meter-Theke,1
30-Minuten-Comeback,2
30-Mio-Bau,1
30-Mio.-Problem,1
30-Mio.-Ziel,2
30-Prozent-Mieten-Grenze,1
30-Zone,1
30-Zonen,1
300-Milliarden-Euro-Plan,1
300-Mio.-Jacht,1
300-Mio.Bahn,1
300.000-Euro-Finale,1
300.000-Euro-Preis,1
30:29-Sieg,1
31-Jährige,3
31-Jährigem,3
31-Jährigen,8
31-Jähriger,20
31-Mio-Blase,1
31-Punkte-Niederlage,1
31:25-Erfolg,1
32-Jährige,4
32-Jährigen,3
32-Jähriger,16
32:26-Auswärtssieg,1
33-Euro-Fund,1
33-Jährige,2
33-Jährigen,3
33-Jähriger,17
33-Meter,1
33-Sekunden-Liebeserklärung,1
33:26-Erfolg,1
34-Jährige,2
34-Jährigem,1
34-Jährigen,7
34-Jähriger,14
34:24-Heimsieg,1
35-Jährige,9
35-Jährigem,2
35-Jähriger,27
35-Millionen-Pfundskerl,1
35-Stunden-Ausgangssperre,1
35-Stunden-Woche,3
350-Millionen-Dollar-Flieger,3
355-Mio.-Paket,1
35:21-Sieg,1
36-Jährigen,3
36-Jähriger,10
360-Grad-Unterwasserwelt,1
361-Konzert,1
365-Euro-Ticket,18
365-Tage-Ticket,3
37-Jährige,3
37-Jährigen,4
37-Jähriger,9
38-Jährige,2
38-Jährigem,2
38-Jährigen,3
38-Jähriger,11
38-Millionen-Euro-Frage,1
389-Megawatt-Lücke,1
38:25-Tor-Gala,2
39-Jährigen,5
39-Jähriger,18
3:0-Erlösung,2
3:0-Führung,1
3:0-Sieg,7
3:1-Sieg,9
3:2-Erfolg,1
3:2-Sieg,3
3D,3
3D-Brillen,2
3D-Drucker,3
3D-Fotos,1
3D-Illustration,1
3D-Magnetfelds,1
3D-Modellen,2
3D-Röntgensystem,2
3G,50
3G+,4
3G-Ausnahmeregelung,1
3G-Kontrollaktion,1
3G-Kontrollen,8
3G-Nachweis,5
3G-Nachweise,1
3G-Razzia,2
3G-Regel,17
3G-Regeln,2
3G-Regelung,1
3G-Zugangsregel,1
3K-Formel,1
3Sat-Comedyshow,1
"4,5-Millionen-Irrtum",1
4-Augen-Gespräch,2
4-Jähriger,1
4-Mio.-Pfund-Gebot,2
4.Stock,1
40-Cent-Sieg,1
40-Grad-Marke,3
40-Jahres-Auswertung,1
40-Jahres-Hoch,4
40-Jährige,1
40-Jährigen,2
40-Jähriger,7
40-Milliarden-Dollar-Hilfspaket,1
40-Mio.-Euro-Hotel,1
40-Punkte-Marke,4
40-Tonnen-Laster,1
40-Tonner,3
40-Tonners,1
40-Tore-Sturm,2
400-Euro-Einkauf,1
400-Euro-Kraft,1
400-Meter,1
400-Meter-Riese,1
400-Meter-Schiff,2
400-Meter-Sprinter,1
4000-Dollar-Brandy,1
41-Jahres-Hoch,2
41-Jährige,2
41-Jährigen,1
41-Jähriger,15
41-Mio.-Euro-Abzocke,1
41-Mrd.-Euro-Angebot,2
41-Stunden-Woche,1
42-Jährige,1
42-Jährigen,1
42-Jähriger,6
42-Stunden-Woche,3
43-Jährige,1
43-Jährigen,1
43-Jähriger,12
43-Mio.-Investition,2
44-Jährige,3
44-Jährigen,3
44-Jähriger,7
44-Milliarden-Dollar-Deal,1
44-Milliarden-Dollar-Deals,1
44:25-Sieg,1
44N,1
45-Jährigen,1
45-Jähriger,5
45-Millionen-Euro-Jackpot,1
45-Millionen-Jackpot,1
450-Euro-Job,1
450-Euro-Jobber,1
452-Jahre-Anwesen,2
46-Jähriger,7
46-Mio-Etat,2
47-Jährige,1
47-Jährigen,3
47-Jähriger,8
47-Kilo-Tumor,1
48-Jährige,2
48-Jährigen,2
48-Jähriger,4
48-Stunden-Blitzwinter,1
49-Jährige,1
49-Jährigen,1
49-Jähriger,9
49-Sekunden-Tor,1
4:0-Erfolg,1
4:0-Heimsieg,2
4:0-Kantersieg,2
4:3-Sieg,1
4:3-Spektakel,3
4G-Mobilfunk,1
5-Dinge-Methode,1
5-Jährige,1
5-Kilo-Klotz,1
5-Milliarden-Stadion,1
5-Millionen-Plan,1
5-Minuten-Terrine,1
5-Prozent-Marke,1
5-Satz-Krimi,1
5-Sterne-Airport,2
5-Sterne-Betreuung,2
5-Sterne-Bewertung,2
5-Stunden-Anhörung,2
5-Tore-Ansage,1
50+1-Regel,2
50-Euro-Angebot,2
50-Euro-Gutschein,1
50-Jahre-Tief,1
50-Jährige,4
50-Jährigen,2
50-Jähriger,8
50-Kilo-Bombe,1
50-Kilo-Weltkriegsbombe,2
50-Meter-Brust,1
50-Millionen-Sanierung,1
50-Mio-Euro-Boot,2
50-Prozent-Auslastung,1
50-Prozent-Frauenquote,1
50-Prozent-Marke,4
50.Geburtstag,1
500-Euro-Gutscheine,1
500-Kilo-Grabstein,1
500-Kilo-Weltkriegs-Bombe,1
500-Kilogramm-Bombe,1
500-Km-Reichweite,1
500-Millionen-Dollar-Forderung,1
500-Millionen-Programm,1
50:50-Chance,1
50:50-Spiel,1
50Hertz,1
51-Jährige,3
51-Jähriger,10
512C,1
52-Jährige,1
52-Jährigen,1
52-Jähriger,10
520-Euro-Job,1
53-Jährige,3
53-Jährigen,1
53-Jähriger,4
54-Jährige,6
54-Jährigen,3
54-Jähriger,8
540-Millionen-Deal,1
540-Mio.-Euro-Yacht,1
55-Jährige,3
55-Jährigen,1
55-Jähriger,15
"555,55-Karat-Diamanten",1
5580-Euro-Kleid,2
56-Jährige,3
56-Jährigen,2
56-Jähriger,8
57-Jährige,1
57-Jährigen,2
57-Jähriger,8
57:101-Niederlage,1
58-Jährige,4
58-Jährigen,2
58-Jähriger,5
58-Millionen-Villa,1
59-Jährige,1
59-Jährigen,2
59-Jähriger,11
5:0-Sieg,2
5:1-Sieg,1
5G,14
5G+,3
5G-Ausbau,1
5G-Einführung,1
5G-Frequenzen,1
5G-Handys,1
5G-Helfer,1
5G-Mobilfunk,2
5G-Netz,3
5G-Netze,1
5G-Pilotprojekt,1
5G-Start,1
5G-Technik,1
5H-3H-Höhenbegrenzung,1
6-Gänge-Menü,1
6-Meter-Schacht,1
6-Millionen-Mann,1
6-Minuten-Wahnsinn,1
6-Punkte-Abzug,2
6-Punkte-Papier,2
60-Jährige,4
60-Jährigen,1
60-Jähriger,10
60-Kilometer-Konvoi,2
60-Meter-Hammer,1
60-Meter-Schornstein,1
60-Meter-Solo,1
60-Millionen-Euro-Hotel,1
60-Mio-Star,1
60-Mio.-Geheimlabor,1
60-Plus,1
60-Tore-Sturm,2
60-Trainer,1
61-Jährige,5
61-Jährigen,4
61-Jähriger,9
615.000-Euro-Kette,1
62-Jährige,4
62-Jährigem,1
62-Jährigen,2
62-Jähriger,11
63-Jährige,4
63-Jährigen,1
63-Jähriger,8
64-Jährigem,1
64-Jähriger,4
640-Mio-Schock,1
65-Jährige,4
65-Jährigen,1
65-Jähriger,6
66-Jährige,4
66-Jährigen,2
66-Jähriger,5
67-Jährige,5
67-Jährigem,3
67-Jähriger,5
68-Jährige,3
68-Jähriger,6
68:77-Niederlage,1
69-Jährigen,2
69-Jähriger,11
6:0-Gala,1
6:0-Sieg,2
6:1-Kantersieg,1
6G,2
"7,5-Mio-Ablöse",1
"7,5-Tonner",1
"7,6-Mio.-Villa",1
7-,2
7-Jährige,3
7-Millionen-Jacht,1
7-Minuten-Unterbrechung,2
7-Prozent-Hürde,1
7-Punkte-Plan,2
7-Quadratmeter-Wohnung,1
7-Stunden-Party,1
7-Tage-Inzidenz,3
7-Tore-Festival,2
70-Jährige,3
70-Jährigen,3
70-Jähriger,6
70-Meter-Solo,1
70-Meter-Sprint,1
70-Millionen-Transfer,1
70-Prozent-Marke,1
700-Millionen-Dollar-Jacht,1
71-Jährige,7
71-Jährigen,2
71-Jähriger,7
71-Milliarden-Euro,1
72-Jährige,7
72-Jährigen,1
72-Jähriger,10
73-Jährige,1
73-Jährigen,1
73-Jähriger,11
74-Jährige,3
74-Jährigen,1
74-Jähriger,3
75-Jahr-Feier,1
75-Jährige,5
75-Jähriger,11
75-Meter-Koloss,2
75-Mio.-Herz,1
750-Mio-Preisschild,1
76-Jährige,6
76-Jähriger,5
77-Jährige,2
77-Jährigem,2
77-Jährigen,1
77-Jähriger,4
77:58-Sieg,1
78-Jährige,2
78-Jährigem,1
78-Jährigen,2
78-Jähriger,5
79-Jährige,9
79-Jährigen,1
79-Jähriger,7
7:0-Sieg,1
7:0-Wahnsinn,1
7:1-Sieg,1
8-Jährigen,2
8-Jähriger,1
8-Mio-Problem,1
8-Prozent-Marke,1
8-Stunden-Tag,1
80-Jährige,11
80-Jährigem,2
80-Jährigen,2
80-Jähriger,9
80-Millionen-Mann,1
80-Millionen-Stürmer,1
80-Prozent-Rechnung,1
80-Prozent-Ziel,1
800-Kilometer-Flug,1
800-Meter-Absturz,2
800-Meter-Freistil-Finale,1
81-000-Euro-Wettbewerb,1
81-Jährige,5
81-Jährigen,1
81-Jähriger,12
82-Jäher,1
82-Jährige,14
82-Jährigen,2
82-Jähriger,11
"8266,80-Euro-Job",2
82:83-Niederlage,1
83-Jährige,18
83-Jährigem,1
83-Jährigen,2
83-Jähriger,14
84-Jährige,9
84-Jährigen,2
84-Jähriger,12
85-Jährige,9
85-Jährigen,3
85-Jähriger,5
85F,2
86-Jährige,2
86-Jähriger,7
86-Mio.-Sanierung,2
87-Jährige,6
87-Jährigen,1
87-Jähriger,6
88-Jährige,8
88-Jährigen,1
88-Jähriger,4
89-Jährige,11
89-Jähriger,7
9-Euro-Angebot,2
9-Euro-Chaos,6
9-Euro-Diebstahl,1
9-Euro-Experiment,2
9-Euro-Monatskarte,1
9-Euro-Monatsticket,13
9-Euro-Punker,1
9-Euro-Stresstest,1
9-Euro-Ticket,265
9-Euro-Ticket-Aktion,3
9-Euro-Ticket-Boom,1
9-Euro-Ticket-Debatte,1
9-Euro-Ticket-Ende,1
9-Euro-Ticket-Start,2
9-Euro-Ticket-Verkauf,1
9-Euro-Ticket-Wochenende,1
9-Euro-Ticket-Ärger,6
9-Euro-Tickets,68
9-Euro-Ticketverkauf,1
9-Euro-Urlaubern,1
9-Euro-Wochenende,1
9-Jahres-Tief,2
9-Jährige,1
9-Punkte-Abzug,2
9.-Mai-Parade,2
90-Jährige,5
90-Jähriger,2
900-Kilometer-Blick,1
90:68-Triumph,1
91-Jährige,4
91-Jährigen,2
91-Jähriger,7
92-Jährige,4
92-Jähriger,4
92-Kilometer-Lauf,1
93-Jährige,4
93-Jähriger,3
93-Meter-Tauchgang,1
93:90-Sieg,1
93:95-Niederlage,1
94-Jähriger,3
95-Jährige,1
95-Jährigen,1
95-Jähriger,1
96-Abgang,1
96-Abstiegskampf,2
96-Absturz,1
96-Attacke,1
96-Aus,6
96-Bank,1
96-Boss,4
96-Chef,3
96-Coach,1
96-Comeback,2
96-Dabrowski,1
96-Diemers,1
96-Duell,2
96-Familientag,2
96-Fanblock,1
96-Fans,2
96-Flop,1
96-Gegner,1
96-Interesse,1
96-Juwel,1
96-Jähriger,1
96-Kabine,1
96-Kader,2
96-Kante,2
96-Knall,2
96-Legende,1
96-Leihe,2
96-Liebling,1
96-Mann,1
96-Neuer,2
96-Neuzugang,2
96-Nullinger,1
96-Pechvogel,3
96-Pokalheld,2
96-Profi,4
96-Renntag,1
96-Rettung,2
96-Sorgen,1
96-Spieler,1
96-Sportchef,3
96-Star,6
96-Stars,1
96-Start,2
96-Startelf,2
96-Sturm-Juwel,2
96-Stürmer,2
96-Test,1
96-Torwart,1
96-Trainer,14
96-Trainerwechsel,2
96-Training,2
96-Trainingsauftakt,2
96-Trainingsstart,1
96-Transfer,3
96-Transfers,2
96-Trikots,2
96-Truppe,1
97-Jährige,1
97-Jähriger,1
98-Jährige,1
99-Prozent-Zweiter,1
9:1-Erfolg,1
9:4-Spektakel,1
9€-Ansturm,2
9€-Chaos,2
A-7-Vollsperrung,1
A-Elf,1
A-Jugend,1
A-Jugend-Pokalspiel,1
A-Jugend-Spiel,1
A-Junioren,3
A-Kader,2
A-Klasse,7
A-Klasse-Aus,2
A-Team,4
A.,27
A1,88
A1-Bauarbeiten,1
A1-Brücken-Bauteil,1
A1-Rheinbrücke,4
A1-Unfall,2
A10,9
A100,22
A100-Blockade,2
A100-Weiterbau,1
A11,5
A113,2
A12,3
A14,30
A14-Brückenschlag,1
A14-Böschung,1
A14-Nordverlängerung,2
A15,3
A17,4
A19,7
A2,73
A2-Anschluss,1
A2-Brücke,2
A2-Crash,1
A2-Massencrash,1
A2-Unfall,5
A20,28
A20-Bau,1
A20-Einbruch,1
A20-Loch,1
A20-Sperrung,1
A21,5
A23,7
A23-Sanierung,1
A24,23
A24-Anschluss,2
A24-Brücke,1
A24-Sperrung,2
A25,4
A255,2
A26,6
A261,1
A28,3
A29,5
A293,2
A3,61
A3-Unfall,2
A30,3
A31,11
A321,1
A350,1
A350-Jets,1
A38,13
A380,6
A380-Jets,1
A39,6
A39-Ausbau,1
A4,82
A40,15
A40-Anschlussstelle,1
A400M-Flugzeuge,1
A42,3
A43,5
A43-Brücke,1
A43-Unfall,1
A44,12
A445,1
A45,35
A45-Brücke,16
A45-Brücken,1
A45-Brücken-Aus,1
A45-Brücken-Sprengung,2
A45-Brückenbau,1
A45-Brückendesaster,1
A45-Sperrung,2
A45-Talbrücke,3
A45-Talbrücken-Desaster,2
A45-Umleitung,2
A45-Unglück,1
A46,11
A46-Raser,1
A48,1
A49,2
A49-Ausbau,3
A49-Baustelle,1
A49-Trasse,1
A5,39
A5-Abfahrt,1
A5-Auffahrt,1
A565,3
A57,8
A59,1
A6,43
A60,3
A61,12
A620,4
A623,1
A63,5
A64,1
A643,2
A65,2
A656,1
A66,13
A66-Rastanlage,2
A661,1
A67,2
A7,103
A7-Asphaltierung,2
A7-Auffahrt,1
A7-Baustelle,1
A7-Brücke,1
A7-Killer,1
A7-Sperrung,6
A70,1
A71,4
A72,16
A73,5
A8,77
A81,6
A9,73
A9-Rasthof,2
A92,1
A93,3
A94,10
A96,2
A98,3
A98-Weiterbau,1
A99,3
Aachen,46
Aachener,3
Aalarm,1
Aalbestand,1
Aalborg,4
Aale,2
Aalen,12
Aalener,4
Aar-Einrich,1
Aareal,14
Aareal-Großaktionär,1
Aarhus,2
Aaron,18
Ab,241
Ab-18-Schau,2
Abad,1
Abartiger,1
Abass,1
Abaz,2
Abba,1
Abba-Party,1
Abba-Star,2
Abba-Stars,1
Abba-Sängerin,2
Abbatar,1
Abbau,15
Abbaupfad,1
Abbensen,1
Abberufung,4
Abbey,3
Abbiege-Crash,2
Abbiege-Manöver,1
Abbiege-Rambo,1
Abbiege-Unfall,2
Abbiegeassistenten,4
Abbiegeassistenten-Förderung,1
Abbiegeassistenz,1
Abbiegemanöver,1
Abbiegen,23
Abbiegende,1
Abbiegender,1
Abbiegendes,1
Abbieger-Chaos,1
Abbiegespur,1
Abbiegeunfall,4
Abbildung,1
Abbildungen,1
Abbitte,1
Abbott,3
Abbrecher,2
Abbremsen,1
Abbrennen,6
Abbrennens,1
Abbruch,15
Abbruch-Skandal,2
Abbruch-Szenario,1
Abbrucharbeiten,1
Abbruchhaus,1
Abbruchs,1
Abbrüche,2
Abdallah,2
Abdeckplatte,2
Abdeckung,1
Abdelhak,2
Abdelkarim,1
Abderrahmane,1
Abdeslam,2
Abdriften,1
Abdruck,1
Abdul,3
Abdul-Jabbar,2
Abdullahi,2
Abel,2
Abela,2
Abellio,3
Abellio-Aus,4
Abellio-Notfahrplan,1
Abellio-Übernahme,1
Abellios,3
Abend,205
Abend-Knaller,1
Abendblatt,2
Abendbrot,1
Abendbrots,2
Abende,2
Abendessen,7
Abendkasse,1
Abendliche,1
Abendmahl,5
Abendpartien,1
Abendrot,1
Abends,3
Abendsonne,2
Abendspiele,2
Abendstimmung,1
Abendtermin,1
Abenteuer,21
Abenteuer-Spielplatz,1
Abenteuerfilm,2
Abenteuerland,1
Abenteuerpark,1
Abenteuerreise,1
Abenteuerspielplatz,3
Abenteurerin,1
Aber,112
Aberglaube,3
Aberkennung,2
Abermals,1
Abfahrer,4
Abfahrerin,3
Abfahrt,30
Abfahrts-Gold,1
Abfahrts-Sieg,2
Abfahrts-Training,1
Abfahrtssaison,1
Abfahrtstraining,2
Abfall,12
Abfallberg,1
Abfallcontainern,1
Abfallentsorgung,2
Abfallentsorgungsanlagen,1
Abfallfirma,1
Abfallgebühren,1
Abfalllager,1
Abfalls,1
Abfalltonne,1
Abfallwirtschaft,1
Abfederung,1
Abfertigung,6
Abfertigungschaos,1
Abfertigungsprobleme,2
Abfertigungsproblemen,1
Abfindung,5
Abfindungsstreit,2
Abflauen,2
Abflug,18
Abflug-Gefahr,1
Abflugroute,1
Abflämmen,1
Abflüge,1
Abfrage,3
Abfragen,3
Abfuhr,5
Abfälle,4
Abfällige,2
Abführ-Pflaume,1
